,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160907:1156,340.47,612.846,44.34,21.29,3.39,0,,,,,,,,,,
20160907:1256,355.95,640.71,43.08,22.72,3.83,0,,,,,,,,,,
20160907:1356,188.68,339.624,38.78,23.23,3.81,0,,,,,,,,,,
20160907:1456,198.68,357.624,32.18,23.74,3.78,0,,,,,,,,,,
20160907:1556,421.36,758.448,24.11,24.25,3.75,0,,,,,,,,,,
20160907:1656,175.55,315.99,15.2,23.48,3.46,0,,,,,,,,,,
20160907:1756,26.69,48.042,5.95,22.7,3.16,0,,,,,,,,,,
20160907:1856,0,0,0,21.93,2.87,0,,,,,,,,,,
20160907:1956,0,0,0,20.83,3.07,0,,,,,,,,,,
20160907:2056,0,0,0,19.73,3.27,0,,,,,,,,,,
20160907:2156,0,0,0,18.63,3.48,0,,,,,,,,,,
20160907:2256,0,0,0,18.04,3.26,0,,,,,,,,,,
20160907:2356,0,0,0,17.44,3.03,0,,,,,,,,,,
20160908:0056,0,0,0,16.85,2.81,0,,,,,,,,,,
20160908:0156,0,0,0,16.49,2.95,0,,,,,,,,,,
20160908:0256,0,0,0,16.13,3.09,0,,,,,,,,,,
20160908:0356,0,0,0,15.77,3.23,0,,,,,,,,,,
20160908:0456,0,0,0,15.49,3.27,0,,,,,,,,,,
20160908:0556,21.91,39.438,3.47,15.21,3.31,0,,,,,,,,,,
20160908:0656,112.18,201.924,12.73,14.93,3.35,0,,,,,,,,,,
20160908:0756,456.31,821.358,21.75,15.69,4.53,0,,,,,,,,,,
20160908:0856,677.54,1219.572,30.06,16.44,5.71,0,,,,,,,,,,
20160908:0956,852.71,1534.878,37.05,17.19,6.88,0,,,,,,,,,,
20160908:1056,950.81,1711.458,41.95,17.7,6.96,0,,,,,,,,,,
20160908:1156,985.29,1773.522,43.97,18.21,7.03,0,,,,,,,,,,
20160908:1256,914.21,1645.578,42.69,18.72,7.1,0,,,,,,,,,,
20160908:1356,820.94,1477.692,38.39,19.07,7.24,0,,,,,,,,,,
20160908:1456,643.78,1158.804,31.81,19.43,7.37,0,,,,,,,,,,
20160908:1556,426.06,766.908,23.75,19.78,7.5,0,,,,,,,,,,
