,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160208:0656,0,0,0,4.43,11.77,0,,,,,,,,,,
20160208:0756,10.01,18.018,2.29,4.56,12.75,0,,,,,,,,,,
20160208:0856,4.59,8.262,9.96,4.69,13.74,0,,,,,,,,,,
20160208:0956,114.3,205.74,16.27,4.81,14.73,0,,,,,,,,,,
20160208:1056,62.94,113.292,20.76,5.3,15.18,0,,,,,,,,,,
20160208:1156,14.42,25.956,23.01,5.8,15.62,0,,,,,,,,,,
20160208:1256,172.7,310.86,22.75,6.29,16.07,0,,,,,,,,,,
20160208:1356,64.04,115.272,20.02,6.05,15.97,0,,,,,,,,,,
20160208:1456,201.54,362.772,15.11,5.82,15.88,0,,,,,,,,,,
20160208:1556,75.19,135.342,8.49,5.59,15.78,0,,,,,,,,,,
20160208:1656,0,0,0,5.5,14.74,0,,,,,,,,,,
20160208:1756,0,0,0,5.4,13.69,0,,,,,,,,,,
20160208:1856,0,0,0,5.31,12.65,0,,,,,,,,,,
20160208:1956,0,0,0,5.01,12.05,0,,,,,,,,,,
20160208:2056,0,0,0,4.72,11.44,0,,,,,,,,,,
20160208:2156,0,0,0,4.42,10.84,0,,,,,,,,,,
20160208:2256,0,0,0,4.36,10.49,0,,,,,,,,,,
20160208:2356,0,0,0,4.3,10.14,0,,,,,,,,,,
20160209:0056,0,0,0,4.25,9.79,0,,,,,,,,,,
20160209:0156,0,0,0,3.95,8.96,0,,,,,,,,,,
20160209:0256,0,0,0,3.65,8.13,0,,,,,,,,,,
20160209:0356,0,0,0,3.35,7.3,0,,,,,,,,,,
20160209:0456,0,0,0,2.91,6.12,0,,,,,,,,,,
20160209:0556,0,0,0,2.47,4.95,0,,,,,,,,,,
20160209:0656,0,0,0,2.02,3.78,0,,,,,,,,,,
20160209:0756,13.32,23.976,2.54,2.12,3.48,0,,,,,,,,,,
20160209:0856,49.72,89.496,10.23,2.21,3.18,0,,,,,,,,,,
20160209:0956,101.81,183.258,16.56,2.3,2.88,0,,,,,,,,,,
