,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160313:0856,147.52,265.536,20.94,2.94,2.93,0,,,,,,,,,,
20160313:0956,202.19,363.942,27.79,4.11,3.53,0,,,,,,,,,,
20160313:1056,205.15,369.27,32.73,5.33,3.88,0,,,,,,,,,,
20160313:1156,367.39,661.302,35.13,6.54,4.22,0,,,,,,,,,,
20160313:1256,934.48,1682.064,34.63,7.76,4.57,0,,,,,,,,,,
20160313:1356,825.48,1485.864,31.31,8.05,4.69,0,,,,,,,,,,
20160313:1456,648.5,1167.3,25.65,8.35,4.81,0,,,,,,,,,,
20160313:1556,423.35,762.03,18.29,8.64,4.94,0,,,,,,,,,,
20160313:1656,183.65,330.57,9.83,7.5,4.38,0,,,,,,,,,,
20160313:1756,3.09,5.562,0.76,6.35,3.82,0,,,,,,,,,,
20160313:1856,0,0,0,5.21,3.26,0,,,,,,,,,,
20160313:1956,0,0,0,4.05,3.43,0,,,,,,,,,,
20160313:2056,0,0,0,2.9,3.6,0,,,,,,,,,,
20160313:2156,0,0,0,1.74,3.77,0,,,,,,,,,,
20160313:2256,0,0,0,1.39,3.73,0,,,,,,,,,,
20160313:2356,0,0,0,1.03,3.69,0,,,,,,,,,,
20160314:0056,0,0,0,0.68,3.66,0,,,,,,,,,,
20160314:0156,0,0,0,0.72,3.91,0,,,,,,,,,,
20160314:0256,0,0,0,0.76,4.17,0,,,,,,,,,,
20160314:0356,0,0,0,0.8,4.43,0,,,,,,,,,,
20160314:0456,0,0,0,0.97,4.68,0,,,,,,,,,,
20160314:0556,0,0,0,1.14,4.92,0,,,,,,,,,,
20160314:0656,84.48,152.064,4.24,1.31,5.17,0,,,,,,,,,,
20160314:0756,85.53,153.954,13.16,1.95,5.55,0,,,,,,,,,,
20160314:0856,245.02,441.036,21.32,2.59,5.93,0,,,,,,,,,,
20160314:0956,483.3,869.94,28.18,3.23,6.3,0,,,,,,,,,,
20160314:1056,932.85,1679.13,33.12,4.55,6.39,0,,,,,,,,,,
20160314:1156,987.92,1778.256,35.53,5.88,6.48,0,,,,,,,,,,
20160314:1256,958.41,1725.138,35.01,7.2,6.57,0,,,,,,,,,,
20160314:1356,850.71,1531.278,31.66,7.6,6.94,0,,,,,,,,,,
20160314:1456,670.12,1206.216,25.97,8,7.31,0,,,,,,,,,,
20160314:1556,440.22,792.396,18.59,8.4,7.68,0,,,,,,,,,,
20160314:1656,197.49,355.482,10.11,7.28,7.08,0,,,,,,,,,,
20160314:1756,4.91,8.838,1.03,6.16,6.47,0,,,,,,,,,,
20160314:1856,0,0,0,5.04,5.86,0,,,,,,,,,,
20160314:1956,0,0,0,4.01,5.63,0,,,,,,,,,,
20160314:2056,0,0,0,2.97,5.39,0,,,,,,,,,,
20160314:2156,0,0,0,1.94,5.16,0,,,,,,,,,,
20160314:2256,0,0,0,1.66,4.76,0,,,,,,,,,,
20160314:2356,0,0,0,1.38,4.36,0,,,,,,,,,,
20160315:0056,0,0,0,1.1,3.96,0,,,,,,,,,,
20160315:0156,0,0,0,1.39,3.85,0,,,,,,,,,,
20160315:0256,0,0,0,1.69,3.75,0,,,,,,,,,,
20160315:0356,0,0,0,1.99,3.64,0,,,,,,,,,,
20160315:0456,0,0,0,1.78,3.48,0,,,,,,,,,,
20160315:0556,0,0,0,1.57,3.32,0,,,,,,,,,,
20160315:0656,83.49,150.282,4.59,1.36,3.16,0,,,,,,,,,,
20160315:0756,134.25,241.65,13.52,2.57,3.76,0,,,,,,,,,,
20160315:0856,221.7,399.06,21.69,3.79,4.36,0,,,,,,,,,,
20160315:0956,422.98,761.364,28.57,5,4.97,0,,,,,,,,,,
20160315:1056,192.63,346.734,33.52,6.36,5.09,0,,,,,,,,,,
20160315:1156,195.9,352.62,35.92,7.71,5.2,0,,,,,,,,,,
20160315:1256,216.02,388.836,35.39,9.07,5.32,0,,,,,,,,,,
20160315:1356,127.39,229.302,32.01,9.17,5.7,0,,,,,,,,,,
20160315:1456,104.6,188.28,26.29,9.27,6.08,0,,,,,,,,,,
20160315:1556,107.25,193.05,18.89,9.36,6.46,0,,,,,,,,,,
20160315:1656,45.96,82.728,10.39,8.68,6.09,0,,,,,,,,,,
20160315:1756,6.05,10.89,1.3,7.99,5.73,0,,,,,,,,,,
20160315:1856,0,0,0,7.31,5.37,0,,,,,,,,,,
20160315:1956,0,0,0,6.78,5.58,0,,,,,,,,,,
20160315:2056,0,0,0,6.25,5.79,0,,,,,,,,,,
20160315:2156,0,0,0,5.72,6,0,,,,,,,,,,
20160315:2256,0,0,0,5.71,5.95,0,,,,,,,,,,
20160315:2356,0,0,0,5.7,5.91,0,,,,,,,,,,
20160316:0056,0,0,0,5.7,5.86,0,,,,,,,,,,
20160316:0156,0,0,0,5.6,5.73,0,,,,,,,,,,
20160316:0256,0,0,0,5.5,5.6,0,,,,,,,,,,
20160316:0356,0,0,0,5.4,5.46,0,,,,,,,,,,
20160316:0456,0,0,0,5.34,5.46,0,,,,,,,,,,
20160316:0556,0,0,0,5.27,5.45,0,,,,,,,,,,
20160316:0656,91.64,164.952,4.95,5.21,5.45,0,,,,,,,,,,
20160316:0756,47.94,86.292,13.89,5.41,5.76,0,,,,,,,,,,
20160316:0856,254.77,458.586,22.07,5.62,6.06,0,,,,,,,,,,
20160316:0956,800,1440,28.96,5.82,6.37,0,,,,,,,,,,
20160316:1056,260.78,469.404,33.93,6.38,6.46,0,,,,,,,,,,
20160316:1156,173.29,311.922,36.32,6.93,6.55,0,,,,,,,,,,
20160316:1256,195.51,351.918,35.77,7.49,6.63,0,,,,,,,,,,
20160316:1356,183.48,330.264,32.37,7.6,6.89,0,,,,,,,,,,
20160316:1456,398.74,717.732,26.62,7.72,7.14,0,,,,,,,,,,
20160316:1556,192.68,346.824,19.18,7.83,7.39,0,,,,,,,,,,
20160316:1656,86.41,155.538,10.66,6.86,6.8,0,,,,,,,,,,
20160316:1756,8.23,14.814,1.57,5.88,6.2,0,,,,,,,,,,
20160316:1856,0,0,0,4.91,5.6,0,,,,,,,,,,
