,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160607:1456,320.57,577.026,46.18,20.31,0.34,0,,,,,,,,,,
20160607:1556,310.11,558.198,37.35,20.33,0.32,0,,,,,,,,,,
20160607:1656,210.97,379.746,28.12,19.99,0.67,0,,,,,,,,,,
20160607:1756,0,0,0,19.66,1.02,0,,,,,,,,,,
20160607:1856,24.09,43.362,10.15,19.32,1.37,0,,,,,,,,,,
20160607:1956,0.89,1.602,2.1,18.46,1.41,0,,,,,,,,,,
20160607:2056,0,0,0,17.6,1.45,0,,,,,,,,,,
20160607:2156,0,0,0,16.74,1.49,0,,,,,,,,,,
20160607:2256,0,0,0,15.98,1.54,0,,,,,,,,,,
20160607:2356,0,0,0,15.23,1.59,0,,,,,,,,,,
20160608:0056,0,0,0,14.47,1.64,0,,,,,,,,,,
20160608:0156,0,0,0,14.09,1.69,0,,,,,,,,,,
20160608:0256,0,0,0,13.7,1.73,0,,,,,,,,,,
20160608:0356,0,0,0,13.32,1.78,0,,,,,,,,,,
20160608:0456,37.1,66.78,7.89,13.96,2.23,0,,,,,,,,,,
20160608:0556,115.13,207.234,16.5,14.59,2.68,0,,,,,,,,,,
20160608:0656,318.68,573.624,25.6,15.23,3.13,0,,,,,,,,,,
20160608:0756,290.95,523.71,34.86,16.71,3.03,0,,,,,,,,,,
20160608:0856,336.64,605.952,43.86,18.18,2.92,0,,,,,,,,,,
20160608:0956,377.77,679.986,51.98,19.66,2.81,0,,,,,,,,,,
20160608:1056,276.19,497.142,58.19,19.91,2.82,0,,,,,,,,,,
20160608:1156,364.21,655.578,61.01,20.15,2.82,0,,,,,,,,,,
20160608:1256,376.48,677.664,59.4,20.4,2.83,0,,,,,,,,,,
20160608:1356,876.75,1578.15,53.99,20.69,2.49,0,,,,,,,,,,
20160608:1456,717.77,1291.986,46.28,20.97,2.16,0,,,,,,,,,,
20160608:1556,220.66,397.188,37.45,21.26,1.82,0,,,,,,,,,,
20160608:1656,300.88,541.584,28.22,21.3,1.89,0,,,,,,,,,,
20160608:1756,100.49,180.882,19.03,21.35,1.95,0,,,,,,,,,,
20160608:1856,38.24,68.832,10.25,21.39,2.01,0,,,,,,,,,,
20160608:1956,10.16,18.288,2.2,19.85,2.25,0,,,,,,,,,,
20160608:2056,0,0,0,18.3,2.49,0,,,,,,,,,,
20160608:2156,0,0,0,16.75,2.73,0,,,,,,,,,,
20160608:2256,0,0,0,15.94,2.63,0,,,,,,,,,,
20160608:2356,0,0,0,15.12,2.54,0,,,,,,,,,,
20160609:0056,0,0,0,14.31,2.44,0,,,,,,,,,,
20160609:0156,0,0,0,13.57,2.34,0,,,,,,,,,,
20160609:0256,0,0,0,12.84,2.24,0,,,,,,,,,,
20160609:0356,0,0,0,12.1,2.14,0,,,,,,,,,,
20160609:0456,37.39,67.302,7.93,12.15,2.34,0,,,,,,,,,,
20160609:0556,89.75,161.55,16.54,12.19,2.54,0,,,,,,,,,,
