,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160409:1056,613.99,1105.182,43.41,6.28,3.37,0,,,,,,,,,,
20160409:1156,142.58,256.644,45.73,6.97,3.48,0,,,,,,,,,,
20160409:1256,224.03,403.254,44.69,7.65,3.59,0,,,,,,,,,,
20160409:1356,245.75,442.35,40.51,7.7,3.99,0,,,,,,,,,,
20160409:1456,540.93,973.674,33.96,7.74,4.39,0,,,,,,,,,,
20160409:1556,209.5,377.1,25.9,7.78,4.79,0,,,,,,,,,,
20160409:1656,90.29,162.522,16.99,6.87,4.69,0,,,,,,,,,,
20160409:1756,46.24,83.232,7.74,5.95,4.58,0,,,,,,,,,,
20160409:1856,0,0,0,5.03,4.48,0,,,,,,,,,,
20160409:1956,0,0,0,3.96,3.66,0,,,,,,,,,,
20160409:2056,0,0,0,2.9,2.85,0,,,,,,,,,,
20160409:2156,0,0,0,1.83,2.03,0,,,,,,,,,,
20160409:2256,0,0,0,1.33,1.95,0,,,,,,,,,,
20160409:2356,0,0,0,0.84,1.87,0,,,,,,,,,,
20160410:0056,0,0,0,0.34,1.79,0,,,,,,,,,,
20160410:0156,0,0,0,0.02,1.9,0,,,,,,,,,,
20160410:0256,0,0,0,-0.3,2,0,,,,,,,,,,
20160410:0356,0,0,0,-0.61,2.11,0,,,,,,,,,,
20160410:0456,0,0,0,-0.21,2.78,0,,,,,,,,,,
20160410:0556,32.21,57.978,4.51,0.2,3.45,0,,,,,,,,,,
20160410:0656,244.9,440.82,13.77,0.61,4.12,0,,,,,,,,,,
20160410:0756,410.23,738.414,22.87,2.64,5.45,0,,,,,,,,,,
20160410:0856,710.33,1278.594,31.34,4.66,6.78,0,,,,,,,,,,
20160410:0956,772.59,1390.662,38.58,6.69,8.11,0,,,,,,,,,,
20160410:1056,727.66,1309.788,43.79,8.05,8.46,0,,,,,,,,,,
20160410:1156,471.56,848.808,46.11,9.42,8.8,0,,,,,,,,,,
20160410:1256,346.81,624.258,45.04,10.78,9.14,0,,,,,,,,,,
20160410:1356,822.04,1479.672,40.82,10.82,9.26,0,,,,,,,,,,
20160410:1456,312.08,561.744,34.25,10.86,9.37,0,,,,,,,,,,
20160410:1556,308.19,554.742,26.16,10.89,9.49,0,,,,,,,,,,
20160410:1656,248.42,447.156,17.23,10.31,9,0,,,,,,,,,,
20160410:1756,26.24,47.232,7.99,9.73,8.51,0,,,,,,,,,,
20160410:1856,0,0,0,9.15,8.01,0,,,,,,,,,,
20160410:1956,0,0,0,8.55,7.91,0,,,,,,,,,,
20160410:2056,0,0,0,7.94,7.8,0,,,,,,,,,,
20160410:2156,0,0,0,7.33,7.7,0,,,,,,,,,,
20160410:2256,0,0,0,7.62,7.46,0,,,,,,,,,,
20160410:2356,0,0,0,7.91,7.22,0,,,,,,,,,,
20160411:0056,0,0,0,8.2,6.98,0,,,,,,,,,,
20160411:0156,0,0,0,7.9,6.42,0,,,,,,,,,,
20160411:0256,0,0,0,7.6,5.87,0,,,,,,,,,,
20160411:0356,0,0,0,7.3,5.31,0,,,,,,,,,,
20160411:0456,0,0,0,7.31,4.92,0,,,,,,,,,,
20160411:0556,0,0,0,7.33,4.53,0,,,,,,,,,,
20160411:0656,12.92,23.256,14.1,7.35,4.14,0,,,,,,,,,,
20160411:0756,146.46,263.628,23.21,7.68,3.99,0,,,,,,,,,,
20160411:0856,397.89,716.202,31.69,8.01,3.84,0,,,,,,,,,,
20160411:0956,191.9,345.42,38.94,8.34,3.7,0,,,,,,,,,,
20160411:1056,232.36,418.248,44.16,8.91,3.54,0,,,,,,,,,,
20160411:1156,104.38,187.884,46.48,9.49,3.38,0,,,,,,,,,,
20160411:1256,129.8,233.64,45.39,10.06,3.23,0,,,,,,,,,,
20160411:1356,162.95,293.31,41.14,10.27,2.86,0,,,,,,,,,,
20160411:1456,176.04,316.872,34.53,10.48,2.5,0,,,,,,,,,,
20160411:1556,104.47,188.046,26.42,10.69,2.14,0,,,,,,,,,,
20160411:1656,104.87,188.766,17.48,10.21,2.07,0,,,,,,,,,,
20160411:1756,44.38,79.884,8.23,9.73,2.01,0,,,,,,,,,,
20160411:1856,0,0,0,9.24,1.94,0,,,,,,,,,,
20160411:1956,0,0,0,8.51,1.98,0,,,,,,,,,,
20160411:2056,0,0,0,7.78,2.02,0,,,,,,,,,,
20160411:2156,0,0,0,7.04,2.06,0,,,,,,,,,,
20160411:2256,0,0,0,6.62,2.13,0,,,,,,,,,,
20160411:2356,0,0,0,6.19,2.2,0,,,,,,,,,,
20160412:0056,0,0,0,5.77,2.28,0,,,,,,,,,,
20160412:0156,0,0,0,5.78,2.29,0,,,,,,,,,,
20160412:0256,0,0,0,5.79,2.31,0,,,,,,,,,,
20160412:0356,0,0,0,5.8,2.33,0,,,,,,,,,,
20160412:0456,0,0,0,5.69,2.31,0,,,,,,,,,,
20160412:0556,36.24,65.232,5.18,5.59,2.29,0,,,,,,,,,,
20160412:0656,133.16,239.688,14.43,5.48,2.28,0,,,,,,,,,,
20160412:0756,169.29,304.722,23.54,6.47,2.25,0,,,,,,,,,,
20160412:0856,412.01,741.618,32.04,7.45,2.22,0,,,,,,,,,,
20160412:0956,653.98,1177.164,39.3,8.44,2.19,0,,,,,,,,,,
20160412:1056,681.97,1227.546,44.54,9.77,2.6,0,,,,,,,,,,
20160412:1156,476.97,858.546,46.85,11.11,3.01,0,,,,,,,,,,
20160412:1256,206.16,371.088,45.74,12.44,3.42,0,,,,,,,,,,
20160412:1356,381.26,686.268,41.45,12.42,3.52,0,,,,,,,,,,
20160412:1456,482.6,868.68,34.81,12.4,3.62,0,,,,,,,,,,
20160412:1556,288.56,519.408,26.67,12.38,3.72,0,,,,,,,,,,
20160412:1656,128.3,230.94,17.73,11.58,3.17,0,,,,,,,,,,
20160412:1756,56.39,101.502,8.47,10.78,2.62,0,,,,,,,,,,
20160412:1856,0,0,0,9.98,2.07,0,,,,,,,,,,
20160412:1956,0,0,0,8.44,2.14,0,,,,,,,,,,
20160412:2056,0,0,0,6.89,2.21,0,,,,,,,,,,
20160412:2156,0,0,0,5.34,2.28,0,,,,,,,,,,
20160412:2256,0,0,0,4.49,2.32,0,,,,,,,,,,
