,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160811:1756,21.83,39.294,14.24,19.8,6.35,0,,,,,,,,,,
20160811:1856,23.63,42.534,5.2,19.42,5.81,0,,,,,,,,,,
20160811:1956,0,0,0,18.43,5.32,0,,,,,,,,,,
20160811:2056,0,0,0,17.43,4.83,0,,,,,,,,,,
20160811:2156,0,0,0,16.44,4.34,0,,,,,,,,,,
20160811:2256,0,0,0,15.95,4.24,0,,,,,,,,,,
20160811:2356,0,0,0,15.47,4.13,0,,,,,,,,,,
20160812:0056,0,0,0,14.99,4.03,0,,,,,,,,,,
20160812:0156,0,0,0,14.42,3.9,0,,,,,,,,,,
20160812:0256,0,0,0,13.85,3.78,0,,,,,,,,,,
20160812:0356,0,0,0,13.29,3.66,0,,,,,,,,,,
20160812:0456,0,0,0,13.37,3.89,0,,,,,,,,,,
20160812:0556,61.35,110.43,9.55,13.46,4.13,0,,,,,,,,,,
20160812:0656,117.87,212.166,18.75,13.54,4.37,0,,,,,,,,,,
20160812:0756,211.29,380.322,27.97,14.66,4.84,0,,,,,,,,,,
20160812:0856,703.59,1266.462,36.76,15.78,5.31,0,,,,,,,,,,
20160812:0956,876.03,1576.854,44.52,16.9,5.78,0,,,,,,,,,,
20160812:1056,981.08,1765.944,50.34,17.91,6.06,0,,,,,,,,,,
20160812:1156,1022.54,1840.572,53.13,18.93,6.33,0,,,,,,,,,,
20160812:1256,989.76,1781.568,52.13,19.94,6.61,0,,,,,,,,,,
20160812:1356,880.25,1584.45,47.65,20.65,6.77,0,,,,,,,,,,
20160812:1456,716.86,1290.348,40.7,21.36,6.94,0,,,,,,,,,,
20160812:1556,510.75,919.35,32.32,22.08,7.1,0,,,,,,,,,,
20160812:1656,222.72,400.896,23.25,21.25,6.9,0,,,,,,,,,,
20160812:1756,83.64,150.552,13.99,20.42,6.69,0,,,,,,,,,,
20160812:1856,22.61,40.698,4.94,19.58,6.48,0,,,,,,,,,,
20160812:1956,0,0,0,18.33,6.05,0,,,,,,,,,,
20160812:2056,0,0,0,17.08,5.61,0,,,,,,,,,,
20160812:2156,0,0,0,15.84,5.17,0,,,,,,,,,,
20160812:2256,0,0,0,15.4,5.05,0,,,,,,,,,,
20160812:2356,0,0,0,14.96,4.92,0,,,,,,,,,,
20160813:0056,0,0,0,14.52,4.8,0,,,,,,,,,,
20160813:0156,0,0,0,14.41,5.04,0,,,,,,,,,,
20160813:0256,0,0,0,14.29,5.28,0,,,,,,,,,,
20160813:0356,0,0,0,14.18,5.52,0,,,,,,,,,,
20160813:0456,0,0,0,14.48,5.63,0,,,,,,,,,,
20160813:0556,52.43,94.374,9.34,14.79,5.75,0,,,,,,,,,,
20160813:0656,71.23,128.214,18.55,15.09,5.86,0,,,,,,,,,,
20160813:0756,183.27,329.886,27.76,16.01,6.19,0,,,,,,,,,,
20160813:0856,256.06,460.908,36.54,16.93,6.52,0,,,,,,,,,,
20160813:0956,319.96,575.928,44.27,17.85,6.86,0,,,,,,,,,,
20160813:1056,977.48,1759.464,50.06,18.52,6.44,0,,,,,,,,,,
20160813:1156,1018.75,1833.75,52.83,19.2,6.03,0,,,,,,,,,,
20160813:1256,688.24,1238.832,51.83,19.87,5.61,0,,,,,,,,,,
