,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20161213:0056,0,0,0,8,2.63,0,,,,,,,,,,
20161213:0156,0,0,0,7.85,2.53,0,,,,,,,,,,
20161213:0256,0,0,0,7.7,2.42,0,,,,,,,,,,
20161213:0356,0,0,0,7.56,2.32,0,,,,,,,,,,
20161213:0456,0,0,0,7.64,2.46,0,,,,,,,,,,
20161213:0556,0,0,0,7.72,2.61,0,,,,,,,,,,
20161213:0656,0,0,0,7.8,2.76,0,,,,,,,,,,
20161213:0756,0,0,0,8.1,3.15,0,,,,,,,,,,
20161213:0856,111.5,200.7,4.95,8.4,3.55,0,,,,,,,,,,
20161213:0956,46.69,84.042,10.29,8.69,3.94,0,,,,,,,,,,
20161213:1056,60.81,109.458,13.76,9.3,4.2,0,,,,,,,,,,
20161213:1156,195.45,351.81,15.06,9.91,4.45,0,,,,,,,,,,
20161213:1256,46.75,84.15,14.07,10.52,4.7,0,,,,,,,,,,
20161213:1356,66.33,119.394,10.88,10.7,4.8,0,,,,,,,,,,
20161213:1456,43.51,78.318,5.77,10.89,4.91,0,,,,,,,,,,
20161213:1556,0,0,0,11.08,5.01,0,,,,,,,,,,
20161213:1656,0,0,0,10.84,4.95,0,,,,,,,,,,
20161213:1756,0,0,0,10.6,4.9,0,,,,,,,,,,
20161213:1856,0,0,0,10.37,4.84,0,,,,,,,,,,
20161213:1956,0,0,0,10.21,4.89,0,,,,,,,,,,
20161213:2056,0,0,0,10.06,4.93,0,,,,,,,,,,
20161213:2156,0,0,0,9.9,4.98,0,,,,,,,,,,
20161213:2256,0,0,0,9.85,4.93,0,,,,,,,,,,
20161213:2356,0,0,0,9.79,4.88,0,,,,,,,,,,
20161214:0056,0,0,0,9.73,4.83,0,,,,,,,,,,
20161214:0156,0,0,0,9.56,4.76,0,,,,,,,,,,
20161214:0256,0,0,0,9.38,4.69,0,,,,,,,,,,
20161214:0356,0,0,0,9.21,4.62,0,,,,,,,,,,
20161214:0456,0,0,0,8.69,4.54,0,,,,,,,,,,
20161214:0556,0,0,0,8.17,4.46,0,,,,,,,,,,
20161214:0656,0,0,0,7.65,4.37,0,,,,,,,,,,
20161214:0756,0,0,0,7.47,4.53,0,,,,,,,,,,
20161214:0856,72.28,130.104,4.84,7.3,4.69,0,,,,,,,,,,
20161214:0956,381.22,686.196,10.2,7.12,4.84,0,,,,,,,,,,
20161214:1056,511.23,920.214,13.68,8.05,5.16,0,,,,,,,,,,
20161214:1156,552.38,994.284,15,8.98,5.48,0,,,,,,,,,,
20161214:1256,408.12,734.616,14.02,9.92,5.79,0,,,,,,,,,,
20161214:1356,298.15,536.67,10.85,9.63,5.38,0,,,,,,,,,,
20161214:1456,180.85,325.53,5.75,9.34,4.97,0,,,,,,,,,,
20161214:1556,0,0,0,9.06,4.55,0,,,,,,,,,,
20161214:1656,0,0,0,8.12,4.24,0,,,,,,,,,,
20161214:1756,0,0,0,7.18,3.94,0,,,,,,,,,,
20161214:1856,0,0,0,6.25,3.63,0,,,,,,,,,,
20161214:1956,0,0,0,6.06,3.6,0,,,,,,,,,,
20161214:2056,0,0,0,5.87,3.58,0,,,,,,,,,,
20161214:2156,0,0,0,5.68,3.56,0,,,,,,,,,,
20161214:2256,0,0,0,5.89,3.72,0,,,,,,,,,,
20161214:2356,0,0,0,6.1,3.88,0,,,,,,,,,,
20161215:0056,0,0,0,6.31,4.04,0,,,,,,,,,,
20161215:0156,0,0,0,6.5,4.07,0,,,,,,,,,,
20161215:0256,0,0,0,6.68,4.11,0,,,,,,,,,,
20161215:0356,0,0,0,6.87,4.14,0,,,,,,,,,,
20161215:0456,0,0,0,6.95,4.28,0,,,,,,,,,,
20161215:0556,0,0,0,7.03,4.42,0,,,,,,,,,,
20161215:0656,0,0,0,7.11,4.57,0,,,,,,,,,,
20161215:0756,0,0,0,7.29,4.62,0,,,,,,,,,,
20161215:0856,17.83,32.094,4.74,7.46,4.68,0,,,,,,,,,,
20161215:0956,37.8,68.04,10.11,7.64,4.73,0,,,,,,,,,,
