"Latitude (decimal degrees):	51.790",,,,,,,,Date,G_i
20161004:2356,0,0,11.39,5.8,0,,,20161005:0756,308.6
20161005:0056,0,0,11.31,5.74,0,,,20161005:0856,445.22
20161005:0156,0,0,11.38,5.79,0,,,20161005:0956,660.21
20161005:0256,0,0,11.46,5.85,0,,,20161005:1056,757.65
20161005:0356,0,0,11.53,5.9,0,,,20161005:1156,782.87
20161005:0456,0,0,11.28,5.99,0,,,20161005:1256,736.69
20161005:0556,0,0,11.03,6.08,0,,,20161005:1356,626.02
20161005:0656,91.83,5.91,10.77,6.17,0,,,20161005:1456,458.9
20161005:0756,308.6,14.53,11.32,6.84,0,,,20161005:1556,258.43
20161005:0856,445.22,22.17,11.86,7.52,0,,,20161005:1656,58.49
20161005:0956,660.21,28.28,12.4,8.19,0,,,20161005:1756,0
20161005:1056,757.65,32.25,13.23,8.3,0,,,20161005:1856,0
20161005:1156,782.87,33.56,14.06,8.4,0,,,20161005:1956,0
20161005:1256,736.69,32,14.9,8.51,0,,,20161005:2056,0
20161005:1356,626.02,27.81,14.65,8.5,0,,,20161005:2156,0
20161005:1456,458.9,21.53,14.41,8.48,0,,,20161005:2256,0
20161005:1556,258.43,13.78,14.16,8.47,0,,,20161005:2356,0
20161005:1656,58.49,5.1,13.01,7.77,0,,,20161006:0056,0
20161005:1756,0,0,11.85,7.07,0,,,20161006:0156,0
20161005:1856,0,0,10.7,6.37,0,,,20161006:0256,0
20161005:1956,0,0,10.17,6.33,0,,,20161006:0356,0
20161005:2056,0,0,9.64,6.29,0,,,20161006:0456,0
20161005:2156,0,0,9.12,6.25,0,,,20161006:0556,0
20161005:2256,0,0,9.06,5.95,0,,,20161006:0656,24.6
20161005:2356,0,0,9,5.65,0,,,20161006:0756,122.99
20161006:0056,0,0,8.94,5.35,0,,,20161006:0856,165.48
20161006:0156,0,0,8.69,5.11,0,,,20161006:0956,661.3
20161006:0256,0,0,8.44,4.86,0,,,20161006:1056,387.24
20161006:0356,0,0,8.19,4.62,0,,,20161006:1156,351.9
20161006:0456,0,0,8.02,4.45,0,,,20161006:1256,714.55
20161006:0556,0,0,7.84,4.27,0,,,20161006:1356,204.89
20161006:0656,24.6,5.64,7.66,4.1,0,,,20161006:1456,124.54
20161006:0756,122.99,14.25,8.63,4.82,0,,,20161006:1556,63.94
20161006:0856,165.48,21.87,9.6,5.54,0,,,20161006:1656,50.13
20161006:0956,661.3,27.95,10.56,6.26,0,,,20161006:1756,0
20161006:1056,387.24,31.89,11.38,6.46,0,,,20161006:1856,0
20161006:1156,351.9,33.17,12.2,6.67,0,,,20161006:1956,0
20161006:1256,714.55,31.61,13.03,6.87,0,,,20161006:2056,0
20161006:1356,204.89,27.42,13.1,6.78,0,,,20161006:2156,0
20161006:1456,124.54,21.16,13.17,6.69,0,,,20161006:2256,0
20161006:1556,63.94,13.42,13.24,6.61,0,,,20161006:2356,0
20161006:1656,50.13,4.74,12.49,5.96,0,,,20161007:0056,0
20161006:1756,0,0,11.74,5.32,0,,,20161007:0156,0
20161006:1856,0,0,10.99,4.68,0,,,20161007:0256,0
20161006:1956,0,0,10.44,4.54,0,,,20161007:0356,0
20161006:2056,0,0,9.89,4.4,0,,,20161007:0456,0
20161006:2156,0,0,9.35,4.26,0,,,20161007:0556,0
20161006:2256,0,0,9.32,3.89,0,,,20161007:0656,21.12
20161006:2356,0,0,9.29,3.53,0,,,20161007:0756,48.36
20161007:0056,0,0,9.26,3.16,0,,,20161007:0856,83.66
20161007:0156,0,0,9.25,3.3,0,,,20161007:0956,122.35
20161007:0256,0,0,9.24,3.44,0,,,20161007:1056,145.89
20161007:0356,0,0,9.23,3.59,0,,,20161007:1156,178.05
20161007:0456,0,0,9.25,3.51,0,,,20161007:1256,127.61
20161007:0556,0,0,9.27,3.44,0,,,20161007:1356,110.95
20161007:0656,21.12,5.38,9.28,3.37,0,,,20161007:1456,111.11
20161007:0756,48.36,13.97,9.9,3.69,0,,,20161007:1556,23.84
20161007:0856,83.66,21.56,10.51,4.02,0,,,20161007:1656,42.66
20161007:0956,122.35,27.61,11.12,4.34,0,,,20161007:1756,0
20161007:1056,145.89,31.52,12.05,4.54,0,,,20161007:1856,0
20161007:1156,178.05,32.79,12.98,4.73,0,,,20161007:1956,0
20161007:1256,127.61,31.22,13.92,4.92,0,,,20161007:2056,0
20161007:1356,110.95,27.04,14.15,4.75,0,,,20161007:2156,0
20161007:1456,111.11,20.79,14.39,4.58,0,,,20161007:2256,0
20161007:1556,23.84,13.06,14.62,4.41,0,,,20161007:2356,0
20161007:1656,42.66,4.39,13.62,3.66,0,,,20161008:0056,0
20161007:1756,0,0,12.62,2.91,0,,,20161008:0156,0
20161007:1856,0,0,11.62,2.17,0,,,20161008:0256,0
20161007:1956,0,0,10.93,2.18,0,,,20161008:0356,0
20161007:2056,0,0,10.24,2.19,0,,,20161008:0456,0
20161007:2156,0,0,9.55,2.21,0,,,20161008:0556,0
20161007:2256,0,0,9.38,2.3,0,,,20161008:0656,27.05
20161007:2356,0,0,9.2,2.39,0,,,20161008:0756,124.39
20161008:0056,0,0,9.03,2.48,0,,,20161008:0856,129.1
20161008:0156,0,0,9.02,2.65,0,,,20161008:0956,232.46
20161008:0256,0,0,9.01,2.81,0,,,20161008:1056,137.71
20161008:0356,0,0,9,2.98,0,,,20161008:1156,85.46
20161008:0456,0,0,9.2,3.28,0,,,20161008:1256,145.14
20161008:0556,0,0,9.4,3.59,0,,,20161008:1356,118.46
20161008:0656,27.05,5.11,9.6,3.89,0,,,20161008:1456,116.26
20161008:0756,124.39,13.68,10,4.18,0,,,20161008:1556,104.9
20161008:0856,129.1,21.25,10.4,4.47,0,,,20161008:1656,25.64
20161008:0956,232.46,27.27,10.79,4.76,0,,,20161008:1756,0
20161008:1056,137.71,31.16,11.64,4.95,0,,,20161008:1856,0
20161008:1156,85.46,32.4,12.49,5.14,0,,,20161008:1956,0
20161008:1256,145.14,30.83,13.34,5.32,0,,,20161008:2056,0
20161008:1356,118.46,26.66,13.5,4.99,0,,,20161008:2156,0
20161008:1456,116.26,20.42,13.67,4.65,0,,,20161008:2256,0
20161008:1556,104.9,12.7,13.83,4.32,0,,,20161008:2356,0
20161008:1656,25.64,4.05,12.89,3.71,0,,,20161009:0056,0
20161008:1756,0,0,11.95,3.09,0,,,20161009:0156,0
20161008:1856,0,0,11.01,2.48,0,,,20161009:0256,0
20161008:1956,0,0,10.28,2.58,0,,,20161009:0356,0
20161008:2056,0,0,9.55,2.68,0,,,20161009:0456,0
20161008:2156,0,0,8.82,2.77,0,,,20161009:0556,0
20161008:2256,0,0,8.47,2.8,0,,,20161009:0656,71.31
20161008:2356,0,0,8.13,2.84,0,,,20161009:0756,283.73
20161009:0056,0,0,7.78,2.87,0,,,20161009:0856,479.05
20161009:0156,0,0,7.73,3.01,0,,,20161009:0956,631.11
20161009:0256,0,0,7.68,3.14,0,,,20161009:1056,722.35
20161009:0356,0,0,7.63,3.28,0,,,20161009:1156,113.24
20161009:0456,0,0,7.55,3.44,0,,,20161009:1256,456.3
20161009:0556,0,0,7.47,3.6,0,,,20161009:1356,366.03
20161009:0656,71.31,4.85,7.38,3.75,0,,,20161009:1456,176.98
20161009:0756,283.73,13.4,8.1,4.41,0,,,20161009:1556,65.56
20161009:0856,479.05,20.94,8.81,5.07,0,,,20161009:1656,30.24
20161009:0956,631.11,26.94,9.52,5.72,0,,,20161009:1756,0
20161009:1056,722.35,30.79,10.55,5.36,0,,,20161009:1856,0
20161009:1156,113.24,32.02,11.58,5,0,,,20161009:1956,0
20161009:1256,456.3,30.44,12.62,4.63,0,,,20161009:2056,0
20161009:1356,366.03,26.28,12.73,4.53,0,,,20161009:2156,0
20161009:1456,176.98,20.05,12.85,4.43,0,,,20161009:2256,0
20161009:1556,65.56,12.35,12.96,4.33,0,,,20161009:2356,0
20161009:1656,30.24,3.7,12.02,3.76,0,,,20161010:0056,0
20161009:1756,0,0,11.07,3.19,0,,,20161010:0156,0
20161009:1856,0,0,10.13,2.62,0,,,20161010:0256,0
20161009:1956,0,0,9.26,2.6,0,,,20161010:0356,0
20161009:2056,0,0,8.39,2.58,0,,,20161010:0456,0
20161009:2156,0,0,7.53,2.57,0,,,20161010:0556,0
20161009:2256,0,0,7.06,2.4,0,,,20161010:0656,65.86
20161009:2356,0,0,6.6,2.24,0,,,20161010:0756,280.83
20161010:0056,0,0,6.13,2.08,0,,,20161010:0856,476.83
20161010:0156,0,0,5.74,2.15,0,,,20161010:0956,629.25
20161010:0256,0,0,5.34,2.22,0,,,20161010:1056,719.43
20161010:0356,0,0,4.95,2.29,0,,,20161010:1156,742.93
20161010:0456,0,0,4.66,2.31,0,,,20161010:1256,551.24
20161010:0556,0,0,4.37,2.34,0,,,20161010:1356,195.58
20161010:0656,65.86,4.58,4.08,2.36,0,,,20161010:1456,250.16
20161010:0756,280.83,13.12,5.31,2.69,0,,,20161010:1556,187.07
20161010:0856,476.83,20.64,6.54,3.02,0,,,20161010:1656,17.84
20161010:0956,629.25,26.6,7.77,3.35,0,,,20161010:1756,0
20161010:1056,719.43,30.43,9.07,3.78,0,,,20161010:1856,0
20161010:1156,742.93,31.64,10.37,4.21,0,,,20161010:1956,0
20161010:1256,551.24,30.05,11.67,4.63,0,,,20161010:2056,0
20161010:1356,195.58,25.9,11.55,4.51,0,,,20161010:2156,0
20161010:1456,250.16,19.69,11.43,4.39,0,,,20161010:2256,0
20161010:1556,187.07,12,11.31,4.26,0,,,20161010:2356,0
20161010:1656,17.84,3.36,10.27,3.79,0,,,20161011:0056,0
20161010:1756,0,0,9.23,3.31,0,,,20161011:0156,0
20161010:1856,0,0,8.19,2.84,0,,,20161011:0256,0
20161010:1956,0,0,7.59,2.97,0,,,20161011:0356,0
20161010:2056,0,0,7,3.11,0,,,20161011:0456,0
20161010:2156,0,0,6.41,3.24,0,,,20161011:0556,0
20161010:2256,0,0,6.42,3.23,0,,,20161011:0656,60.4
20161010:2356,0,0,6.44,3.21,0,,,20161011:0756,274.6
20161011:0056,0,0,6.45,3.2,0,,,20161011:0856,470.1
20161011:0156,0,0,6.69,3.36,0,,,20161011:0956,622.02
20161011:0256,0,0,6.92,3.51,0,,,20161011:1056,709.31
20161011:0356,0,0,7.16,3.67,0,,,20161011:1156,732.49
20161011:0456,0,0,7.06,3.51,0,,,20161011:1256,328.6
20161011:0556,0,0,6.96,3.35,0,,,20161011:1356,505.39
20161011:0656,60.4,4.31,6.85,3.19,0,,,20161011:1456,406.45
20161011:0756,274.6,12.83,7.69,3.6,0,,,20161011:1556,210.88
20161011:0856,470.1,20.33,8.52,4,0,,,20161011:1656,25.07
20161011:0956,622.02,26.27,9.36,4.41,0,,,20161011:1756,0
20161011:1056,709.31,30.07,10.47,4.5,0,,,20161011:1856,0
20161011:1156,732.49,31.26,11.57,4.59,0,,,20161011:1956,0
20161011:1256,328.6,29.67,12.68,4.68,0,,,20161011:2056,0
20161011:1356,505.39,25.52,12.79,4.4,0,,,20161011:2156,0
20161011:1456,406.45,19.32,12.9,4.13,0,,,20161011:2256,0
20161011:1556,210.88,11.65,13.01,3.86,0,,,20161011:2356,0
20161011:1656,25.07,3.02,11.77,3.34,0,,,20161012:0056,0
20161011:1756,0,0,10.52,2.81,0,,,20161012:0156,0
20161011:1856,0,0,9.28,2.29,0,,,20161012:0256,0
20161011:1956,0,0,8.92,2.49,0,,,20161012:0356,0
20161011:2056,0,0,8.56,2.69,0,,,20161012:0456,0
20161011:2156,0,0,8.2,2.88,0,,,20161012:0556,0
20161011:2256,0,0,8.21,2.97,0,,,20161012:0656,26.42
20161011:2356,0,0,8.22,3.05,0,,,20161012:0756,99.17
20161012:0056,0,0,8.23,3.13,0,,,20161012:0856,152.43
20161012:0156,0,0,8.23,3.29,0,,,20161012:0956,384.38
20161012:0256,0,0,8.23,3.44,0,,,20161012:1056,186.82
20161012:0356,0,0,8.23,3.6,0,,,20161012:1156,62.3
20161012:0456,0,0,8.43,3.72,0,,,20161012:1256,224.68
20161012:0556,0,0,8.63,3.85,0,,,20161012:1356,368.74
20161012:0656,26.42,4.05,8.83,3.97,0,,,20161012:1456,92.68
20161012:0756,99.17,12.55,9.27,4.76,0,,,20161012:1556,203.72
20161012:0856,152.43,20.02,9.7,5.55,0,,,20161012:1656,15.29
20161012:0956,384.38,25.93,10.13,6.34,0,,,20161012:1756,0
20161012:1056,186.82,29.71,10.82,6.61,0,,,20161012:1856,0
20161012:1156,62.3,30.88,11.5,6.87,0,,,20161012:1956,0
20161012:1256,224.68,29.29,12.19,7.13,0,,,20161012:2056,0
20161012:1356,368.74,25.15,12.46,6.8,0,,,20161012:2156,0
20161012:1456,92.68,18.96,12.74,6.48,0,,,20161012:2256,0
20161012:1556,203.72,11.3,13.02,6.15,0,,,20161012:2356,0
20161012:1656,15.29,2.68,12.02,5.83,0,,,20161013:0056,0
20161012:1756,0,0,11.01,5.51,0,,,20161013:0156,0
20161012:1856,0,0,10.01,5.19,0,,,20161013:0256,0
20161012:1956,0,0,9.59,5.3,0,,,20161013:0356,0
20161012:2056,0,0,9.18,5.42,0,,,20161013:0456,0
20161012:2156,0,0,8.77,5.53,0,,,20161013:0556,0
20161012:2256,0,0,8.76,5.48,0,,,20161013:0656,50.08
20161012:2356,0,0,8.76,5.43,0,,,20161013:0756,68.81
20161013:0056,0,0,8.75,5.38,0,,,20161013:0856,136.38
20161013:0156,0,0,8.62,5.32,0,,,20161013:0956,255.06
20161013:0256,0,0,8.5,5.26,0,,,20161013:1056,292.73
20161013:0356,0,0,8.37,5.2,0,,,20161013:1156,273.68
20161013:0456,0,0,8.19,5.32,0,,,20161013:1256,505.08
20161013:0556,0,0,8.01,5.45,0,,,20161013:1356,211.76
20161013:0656,50.08,3.78,7.83,5.57,0,,,20161013:1456,69.49
20161013:0756,68.81,12.26,8.14,5.97,0,,,20161013:1556,124.34
20161013:0856,136.38,19.71,8.45,6.37,0,,,20161013:1656,15.5
20161013:0956,255.06,25.59,8.76,6.77,0,,,20161013:1756,0
20161013:1056,292.73,29.35,9.58,6.77,0,,,20161013:1856,0
20161013:1156,273.68,30.51,10.4,6.76,0,,,20161013:1956,0
20161013:1256,505.08,28.91,11.22,6.76,0,,,20161013:2056,0
20161013:1356,211.76,24.78,11,6.57,0,,,20161013:2156,0
20161013:1456,69.49,18.6,10.78,6.38,0,,,20161013:2256,0
20161013:1556,124.34,10.96,10.56,6.19,0,,,20161013:2356,0
20161013:1656,15.5,2.35,9.97,5.44,0,,,20161014:0056,0
20161013:1756,0,0,9.39,4.69,0,,,20161014:0156,0
20161013:1856,0,0,8.8,3.94,0,,,20161014:0256,0
20161013:1956,0,0,8.6,3.82,0,,,20161014:0356,0
20161013:2056,0,0,8.4,3.69,0,,,20161014:0456,0
20161013:2156,0,0,8.21,3.56,0,,,20161014:0556,0
20161013:2256,0,0,8.07,3.32,0,,,20161014:0656,24.46
20161013:2356,0,0,7.92,3.08,0,,,20161014:0756,142.68
20161014:0056,0,0,7.78,2.84,0,,,20161014:0856,231.65
20161014:0156,0,0,7.43,2.82,0,,,20161014:0956,183.34
20161014:0256,0,0,7.07,2.8,0,,,20161014:1056,310.15
20161014:0356,0,0,6.72,2.79,0,,,20161014:1156,149.53
20161014:0456,0,0,6.5,2.76,0,,,20161014:1256,258.28
20161014:0556,0,0,6.28,2.74,0,,,20161014:1356,151.04
20161014:0656,24.46,3.51,6.06,2.72,0,,,20161014:1456,113.36
20161014:0756,142.68,11.98,7.08,3.33,0,,,20161014:1556,163.08
20161014:0856,231.65,19.4,8.09,3.95,0,,,20161014:1656,6.31
20161014:0956,183.34,25.26,9.1,4.57,0,,,20161014:1756,0
20161014:1056,310.15,28.99,10.06,4.59,0,,,20161014:1856,0
20161014:1156,149.53,30.13,11.02,4.62,0,,,20161014:1956,0
20161014:1256,258.28,28.53,11.99,4.65,0,,,20161014:2056,0
20161014:1356,151.04,24.41,12.3,4.58,0,,,20161014:2156,0
20161014:1456,113.36,18.25,12.61,4.52,0,,,20161014:2256,0
20161014:1556,163.08,10.61,12.92,4.46,0,,,20161014:2356,0
20161014:1656,6.31,2.02,12.01,4.02,0,,,20161015:0056,0
20161014:1756,0,0,11.1,3.59,0,,,20161015:0156,0
20161014:1856,0,0,10.19,3.16,0,,,20161015:0256,0
20161014:1956,0,0,9.68,3.09,0,,,20161015:0356,0
20161014:2056,0,0,9.17,3.01,0,,,20161015:0456,0
20161014:2156,0,0,8.67,2.94,0,,,20161015:0556,0
20161014:2256,0,0,8.56,2.74,0,,,20161015:0656,80.45
20161014:2356,0,0,8.46,2.55,0,,,20161015:0756,116.21
20161015:0056,0,0,8.35,2.36,0,,,20161015:0856,11.41
20161015:0156,0,0,8.64,2.56,0,,,20161015:0956,566.51
20161015:0256,0,0,8.94,2.76,0,,,20161015:1056,613.53
20161015:0356,0,0,9.23,2.97,0,,,20161015:1156,564.42
20161015:0456,0,0,9.18,2.98,0,,,20161015:1256,360.06
20161015:0556,0,0,9.12,3,0,,,20161015:1356,302.78
20161015:0656,80.45,3.24,9.06,3.02,0,,,20161015:1456,198.8
20161015:0756,116.21,11.69,9.65,3.61,0,,,20161015:1556,112.4
20161015:0856,11.41,19.1,10.23,4.2,0,,,20161015:1656,5.2
20161015:0956,566.51,24.93,10.82,4.79,0,,,20161015:1756,0
20161015:1056,613.53,28.63,11.7,5.07,0,,,20161015:1856,0
20161015:1156,564.42,29.76,12.58,5.35,0,,,20161015:1956,0
20161015:1256,360.06,28.16,13.46,5.63,1,,,20161015:2056,0
20161015:1356,302.78,24.04,13.38,5.4,1,,,20161015:2156,0
20161015:1456,198.8,17.9,13.31,5.18,1,,,20161015:2256,0
20161015:1556,112.4,10.27,13.23,4.95,1,,,20161015:2356,0
20161015:1656,5.2,1.69,12.31,4.64,1,,,20161016:0056,0
20161015:1756,0,0,11.39,4.34,0,,,20161016:0156,0
20161015:1856,0,0,10.47,4.03,0,,,20161016:0256,0
20161015:1956,0,0,10.27,4.28,0,,,20161016:0356,0
20161015:2056,0,0,10.07,4.52,0,,,20161016:0456,0
20161015:2156,0,0,9.88,4.77,0,,,20161016:0556,0
20161015:2256,0,0,9.8,4.62,0,,,20161016:0656,33.42
20161015:2356,0,0,9.72,4.47,0,,,20161016:0756,141.38
20161016:0056,0,0,9.64,4.32,0,,,20161016:0856,207.31
20161016:0156,0,0,9.59,4.71,0,,,20161016:0956,328.52
20161016:0256,0,0,9.55,5.11,0,,,20161016:1056,369.39
20161016:0356,0,0,9.5,5.5,0,,,20161016:1156,314.07
20161016:0456,0,0,9.94,6.16,0,,,20161016:1256,320.45
20161016:0556,0,0,10.38,6.81,0,,,20161016:1356,282.13
20161016:0656,33.42,2.97,10.82,7.46,1,,,20161016:1456,206.25
20161016:0756,141.38,11.41,11.1,7.62,1,,,20161016:1556,106.15
20161016:0856,207.31,18.79,11.38,7.77,1,,,20161016:1656,3.59
20161016:0956,328.52,24.59,11.65,7.93,1,,,20161016:1756,0
20161016:1056,369.39,28.27,12.17,7.71,1,,,20161016:1856,0
20161016:1156,314.07,29.39,12.68,7.5,1,,,20161016:1956,0
20161016:1256,320.45,27.78,13.2,7.28,1,,,20161016:2056,0
20161016:1356,282.13,23.68,13.68,7.25,1,,,20161016:2156,0
20161016:1456,206.25,17.55,14.17,7.22,1,,,20161016:2256,0
20161016:1556,106.15,9.94,14.66,7.19,1,,,20161016:2356,0
20161016:1656,3.59,1.36,13.8,6.61,1,,,20161017:0056,0
20161016:1756,0,0,12.93,6.03,0,,,20161017:0156,0
20161016:1856,0,0,12.07,5.45,0,,,20161017:0256,0
20161016:1956,0,0,11.66,5.54,0,,,20161017:0356,0
20161016:2056,0,0,11.25,5.64,0,,,20161017:0456,0
20161016:2156,0,0,10.84,5.74,0,,,20161017:0556,0
20161016:2256,0,0,10.76,5.61,0,,,20161017:0656,31.15
20161016:2356,0,0,10.67,5.49,0,,,20161017:0756,153.34
20161017:0056,0,0,10.59,5.37,0,,,20161017:0856,235.8
20161017:0156,0,0,10.57,5.31,0,,,20161017:0956,361.64
20161017:0256,0,0,10.55,5.26,0,,,20161017:1056,414.94
20161017:0356,0,0,10.53,5.2,0,,,20161017:1156,343.05
20161017:0456,0,0,10.32,5.09,0,,,20161017:1256,330.74
20161017:0556,0,0,10.11,4.99,0,,,20161017:1356,501.3
20161017:0656,31.15,2.71,9.89,4.88,1,,,20161017:1456,69.83
20161017:0756,153.34,11.12,10.59,5.52,1,,,20161017:1556,171.9
20161017:0856,235.8,18.48,11.28,6.15,1,,,20161017:1656,2.38
20161017:0956,361.64,24.26,11.97,6.79,1,,,20161017:1756,0
20161017:1056,414.94,27.92,12.77,6.9,1,,,20161017:1856,0
20161017:1156,343.05,29.02,13.57,7.01,1,,,20161017:1956,0
20161017:1256,330.74,27.41,14.38,7.12,1,,,20161017:2056,0
20161017:1356,501.3,23.32,14.18,6.8,0,,,20161017:2156,0
20161017:1456,69.83,17.2,13.99,6.49,0,,,20161017:2256,0
20161017:1556,171.9,9.61,13.8,6.18,0,,,20161017:2356,0
20161017:1656,2.38,1.04,12.88,5.6,0,,,20161018:0056,0
20161017:1756,0,0,11.97,5.01,0,,,20161018:0156,0
20161017:1856,0,0,11.05,4.43,0,,,20161018:0256,0
20161017:1956,0,0,10.43,4.28,0,,,20161018:0356,0
20161017:2056,0,0,9.82,4.13,0,,,20161018:0456,0
20161017:2156,0,0,9.21,3.99,0,,,20161018:0556,0
20161017:2256,0,0,9.06,4.05,0,,,20161018:0656,39.16
20161017:2356,0,0,8.92,4.11,0,,,20161018:0756,135.84
20161018:0056,0,0,8.77,4.18,0,,,20161018:0856,224.46
20161018:0156,0,0,9.06,4.57,0,,,20161018:0956,148.43
20161018:0256,0,0,9.34,4.97,0,,,20161018:1056,626.97
20161018:0356,0,0,9.63,5.37,0,,,20161018:1156,571.29
20161018:0456,0,0,9.72,5.96,0,,,20161018:1256,346.04
20161018:0556,0,0,9.8,6.55,0,,,20161018:1356,374.91
20161018:0656,39.16,2.44,9.88,7.14,0,,,20161018:1456,366.82
20161018:0756,135.84,10.84,9.79,7.17,0,,,20161018:1556,170.04
20161018:0856,224.46,18.17,9.69,7.2,0,,,20161018:1656,0.87
20161018:0956,148.43,23.93,9.59,7.23,0,,,20161018:1756,0
20161018:1056,626.97,27.57,10.21,7.41,0,,,20161018:1856,0
20161018:1156,571.29,28.65,10.82,7.6,0,,,20161018:1956,0
20161018:1256,346.04,27.05,11.44,7.78,0,,,20161018:2056,0
20161018:1356,374.91,22.96,11.47,7.73,0,,,20161018:2156,0
20161018:1456,366.82,16.86,11.5,7.69,0,,,20161018:2256,0
20161018:1556,170.04,9.28,11.53,7.64,0,,,20161018:2356,0
20161018:1656,0.87,0.72,10.79,7.18,0,,,20161019:0056,0
20161018:1756,0,0,10.05,6.72,0,,,20161019:0156,0
20161018:1856,0,0,9.31,6.26,0,,,20161019:0256,0
20161018:1956,0,0,9.02,6.23,0,,,20161019:0356,0
20161018:2056,0,0,8.74,6.2,0,,,20161019:0456,0
20161018:2156,0,0,8.46,6.17,0,,,20161019:0556,0
20161018:2256,0,0,8.45,5.98,0,,,20161019:0656,10.49
20161018:2356,0,0,8.43,5.8,0,,,20161019:0756,64.31
20161019:0056,0,0,8.42,5.61,0,,,20161019:0856,247.04
20161019:0156,0,0,8.11,5.42,0,,,20161019:0956,448.59
20161019:0256,0,0,7.79,5.22,0,,,20161019:1056,665.71
20161019:0356,0,0,7.48,5.02,0,,,20161019:1156,366.76
20161019:0456,0,0,7.33,4.82,0,,,20161019:1256,62.1
20161019:0556,0,0,7.18,4.62,0,,,20161019:1356,93.67
20161019:0656,10.49,2.17,7.02,4.41,0,,,20161019:1456,317.99
20161019:0756,64.31,10.55,7.92,4.83,0,,,20161019:1556,54.66
20161019:0856,247.04,17.87,8.81,5.24,0,,,20161019:1656,0
20161019:0956,448.59,23.6,9.71,5.66,0,,,20161019:1756,0
20161019:1056,665.71,27.21,10.62,5.82,0,,,20161019:1856,0
20161019:1156,366.76,28.29,11.53,5.99,0,,,20161019:1956,0
20161019:1256,62.1,26.68,12.44,6.15,0,,,20161019:2056,0
20161019:1356,93.67,22.6,12.29,5.88,0,,,20161019:2156,0
20161019:1456,317.99,16.52,12.15,5.6,0,,,20161019:2256,0
20161019:1556,54.66,8.95,12.01,5.32,0,,,20161019:2356,0
20161019:1656,0,0,11.2,4.81,0,,,20161020:0056,0
20161019:1756,0,0,10.4,4.3,0,,,20161020:0156,0
20161019:1856,0,0,9.59,3.79,0,,,20161020:0256,0
20161019:1956,0,0,8.95,3.86,0,,,20161020:0356,0
20161019:2056,0,0,8.31,3.92,0,,,20161020:0456,0
20161019:2156,0,0,7.68,3.99,0,,,20161020:0556,0
20161019:2256,0,0,7.49,3.94,0,,,20161020:0656,3.59
20161019:2356,0,0,7.29,3.9,0,,,20161020:0756,60.2
20161020:0056,0,0,7.1,3.86,0,,,20161020:0856,78.23
20161020:0156,0,0,7.05,3.94,0,,,20161020:0956,203.38
20161020:0256,0,0,7,4.03,0,,,20161020:1056,342.27
20161020:0356,0,0,6.95,4.11,0,,,20161020:1156,200.47
20161020:0456,0,0,6.99,4.26,0,,,20161020:1256,73.71
20161020:0556,0,0,7.03,4.41,0,,,20161020:1356,159.61
20161020:0656,3.59,1.9,7.07,4.57,0,,,20161020:1456,133.39
20161020:0756,60.2,10.27,7.72,5.14,0,,,20161020:1556,64.46
20161020:0856,78.23,17.56,8.36,5.71,0,,,20161020:1656,0
20161020:0956,203.38,23.27,9.01,6.28,0,,,20161020:1756,0
20161020:1056,342.27,26.86,9.87,5.99,0,,,20161020:1856,0
20161020:1156,200.47,27.93,10.73,5.7,0,,,20161020:1956,0
20161020:1256,73.71,26.32,11.6,5.41,0,,,20161020:2056,0
20161020:1356,159.61,22.25,11.77,5.23,0,,,20161020:2156,0
20161020:1456,133.39,16.18,11.95,5.05,0,,,20161020:2256,0
20161020:1556,64.46,8.63,12.12,4.87,0,,,20161020:2356,0
20161020:1656,0,0,11.06,4.3,0,,,20161021:0056,0
20161020:1756,0,0,9.99,3.74,0,,,20161021:0156,0
20161020:1856,0,0,8.93,3.17,0,,,20161021:0256,0
20161020:1956,0,0,8.27,3.2,0,,,20161021:0356,0
20161020:2056,0,0,7.61,3.23,0,,,20161021:0456,0
20161020:2156,0,0,6.96,3.26,0,,,20161021:0556,0
20161020:2256,0,0,6.72,3.23,0,,,20161021:0656,7.91
20161020:2356,0,0,6.47,3.21,0,,,20161021:0756,41.49
20161021:0056,0,0,6.23,3.19,0,,,20161021:0856,114.22
20161021:0156,0,0,6.31,3.13,0,,,20161021:0956,104.73
20161021:0256,0,0,6.38,3.07,0,,,20161021:1056,334.49
20161021:0356,0,0,6.46,3.01,0,,,20161021:1156,437.24
20161021:0456,0,0,6.4,3.15,0,,,20161021:1256,457.9
20161021:0556,0,0,6.33,3.3,0,,,20161021:1356,227.18
20161021:0656,7.91,1.63,6.26,3.45,0,,,20161021:1456,297.56
20161021:0756,41.49,9.99,6.79,3.55,0,,,20161021:1556,139.59
20161021:0856,114.22,17.25,7.32,3.66,0,,,20161021:1656,0
20161021:0956,104.73,22.94,7.84,3.77,0,,,20161021:1756,0
20161021:1056,334.49,26.52,8.76,3.78,0,,,20161021:1856,0
20161021:1156,437.24,27.57,9.68,3.8,0,,,20161021:1956,0
20161021:1256,457.9,25.96,10.6,3.82,0,,,20161021:2056,0
20161021:1356,227.18,21.91,10.87,3.75,0,,,20161021:2156,0
20161021:1456,297.56,15.85,11.14,3.67,0,,,20161021:2256,0
20161021:1556,139.59,8.31,11.41,3.6,0,,,20161021:2356,0
20161021:1656,0,0,10.34,3.11,0,,,20161022:0056,0
