"Latitude (decimal degrees):	51.790",,,,,,,,Date,G_i (kW/m),Electric car demand (kWh),Electric bus demand (kWh)
20070108:0456,0,0,6.77,6.96,0,,,20070108:1456,0.088355,77.65783215,50
20070108:0556,0,0,5.98,6.17,0,,,20070108:1556,0.011814,67.21262666,50
20070108:0656,0,0,5.19,5.39,0,,,20070108:1656,0,49.95533062,50
20070108:0756,0,0,5.11,5.21,0,,,20070108:1756,0,46.32221567,50
20070108:0856,4.03,4.48,5.03,5.03,0,,,20070108:1856,0,44.50565819,50
20070108:0956,17.97,10.2,4.95,4.84,0,,,20070108:1956,0,31.78975585,50
20070108:1056,7.62,14.11,5.73,5.61,0,,,20070108:2056,0,19.07385351,50
20070108:1156,8.98,15.88,6.51,6.39,0,,,20070108:2156,0,6.35795117,50
20070108:1256,17.33,15.33,7.29,7.16,0,,,20070108:2256,0,0,0
20070108:1356,6.51,12.53,8.17,7.78,0,,,20070108:2356,0,0,0
20070108:1456,8.4,7.73,9.05,8.4,0,,,20070109:0056,0,0,0
20070108:1556,3.11,1.29,9.92,9.02,0,,,20070109:0156,0,0,0
20070108:1656,0,0,10.42,9.23,0,,,20070109:0256,0,0,0
20070108:1756,0,0,10.91,9.44,0,,,20070109:0356,0,0,0
20070108:1856,0,0,11.41,9.66,0,,,20070109:0456,0,0,0
20070108:1956,0,0,11.31,9.51,0,,,20070109:0556,0,0,50
20070108:2056,0,0,11.21,9.36,0,,,20070109:0656,0,9.082787386,50
20070108:2156,0,0,11.11,9.21,0,,,20070109:0756,0,86.28648017,50
20070108:2256,0,0,11.07,9.53,0,,,20070109:0856,0.074622,186.1971414,50
20070108:2356,0,0,11.04,9.84,0,,,20070109:0956,0.169648,240.6938657,50
20070109:0056,0,0,11.01,10.15,0,,,20070109:1056,0.267857,261.5842767,50
20070109:0156,0,0,10.76,10.54,0,,,20070109:1156,0.30193,207.5416918,50
20070109:0256,0,0,10.5,10.92,0,,,20070109:1256,0.268885,137.6042289,50
20070109:0356,0,0,10.24,11.31,0,,,20070109:1356,0.14539,99.45652188,50
20070109:0456,0,0,10.07,11.35,0,,,20070109:1456,0.147363,77.65783215,50
20070109:0556,0,0,9.89,11.38,0,,,20070109:1556,0.015845,67.21262666,50
20070109:0656,0,0,9.72,11.42,0,,,20070109:1656,0,49.95533062,50
20070109:0756,0,0,9.9,11.45,0,,,20070109:1756,0,46.32221567,50
