"Latitude (decimal degrees):	51.790",,,,,,,,Date (ignore the year),Averaged G_i (W/m^2)
20160419:1256,738.83,48.09,11.61,2,0,,,,
20160419:1356,911.24,43.58,12.24,2.28,0,,,,
20160419:1456,731.1,36.72,12.88,2.55,0,,,,
20160419:1556,506.99,28.43,13.51,2.83,0,,,,
20160419:1656,267.24,19.4,12.99,2.72,0,,,,
20160419:1756,55.91,10.14,12.46,2.61,0,,,,
20160419:1856,4.87,1.05,11.93,2.5,0,,,,
20160419:1956,0,0,10.28,2.66,0,,,,
20160419:2056,0,0,8.64,2.83,0,,,,
20160419:2156,0,0,6.99,2.99,0,,,,
20160419:2256,0,0,6.24,2.97,0,,,,
20160419:2356,0,0,5.48,2.96,0,,,,
20160420:0056,0,0,4.73,2.94,0,,,,
20160420:0156,0,0,4.21,3,0,,,,
20160420:0256,0,0,3.69,3.06,0,,,,
20160420:0356,0,0,3.18,3.12,0,,,,
20160420:0456,0,0,3.16,3.38,0,,,,
20160420:0556,66.07,7.7,3.15,3.64,0,,,,
20160420:0656,286.11,16.95,3.14,3.9,0,,,,
20160420:0756,529.71,26.1,4.9,4.5,0,,,,
20160420:0856,756.18,34.68,6.67,5.09,0,,,,
20160420:0956,935.35,42.07,8.43,5.68,0,,,,
20160420:1056,1043,47.4,9.68,5.88,0,,,,
20160420:1156,1079.83,49.7,10.92,6.08,0,,,,
20160420:1256,1034.55,48.42,12.17,6.28,0,,,,
20160420:1356,916.06,43.87,12.55,6.26,0,,,,
20160420:1456,736.88,36.98,12.93,6.25,0,,,,
20160420:1556,491.1,28.67,13.3,6.23,0,,,,
20160420:1656,259.27,19.64,12.41,6.09,0,,,,
20160420:1756,57.22,10.37,11.52,5.95,0,,,,
20160420:1856,4.87,1.29,10.62,5.81,0,,,,
20160420:1956,0,0,9.15,5.49,0,,,,
20160420:2056,0,0,7.68,5.17,0,,,,
20160420:2156,0,0,6.2,4.86,0,,,,
20160420:2256,0,0,5.68,4.7,0,,,,
20160420:2356,0,0,5.15,4.55,0,,,,
20160421:0056,0,0,4.63,4.4,0,,,,
20160421:0156,0,0,4.43,4.31,0,,,,
20160421:0256,0,0,4.23,4.23,0,,,,
20160421:0356,0,0,4.04,4.14,0,,,,
20160421:0456,0,0,4.14,4.4,0,,,,
20160421:0556,3.77,8,4.25,4.66,0,,,,
20160421:0656,106.76,17.25,4.35,4.92,0,,,,
20160421:0756,236.32,26.4,6.22,5.2,0,,,,
20160421:0856,280.02,35,8.09,5.48,0,,,,
20160421:0956,167.37,42.4,9.96,5.75,0,,,,
20160421:1056,398.99,47.74,11.38,5.85,0,,,,
20160421:1156,796.79,50.04,12.8,5.95,0,,,,
20160421:1256,523.54,48.74,14.22,6.06,0,,,,
20160421:1356,587.39,44.16,14.55,6.31,0,,,,
20160421:1456,588.05,37.24,14.88,6.56,0,,,,
20160421:1556,208.52,28.91,15.21,6.81,0,,,,
20160421:1656,148.8,19.87,14.18,6.15,0,,,,
20160421:1756,69.52,10.61,13.15,5.48,0,,,,
20160421:1856,7.41,1.53,12.11,4.81,0,,,,
20160421:1956,0,0,10.78,4.86,0,,,,
20160421:2056,0,0,9.45,4.91,0,,,,
20160421:2156,0,0,8.12,4.95,0,,,,
20160421:2256,0,0,7.68,5.12,0,,,,
20160421:2356,0,0,7.24,5.28,0,,,,
20160422:0056,0,0,6.8,5.45,0,,,,
20160422:0156,0,0,6.35,5.44,0,,,,
20160422:0256,0,0,5.9,5.44,0,,,,
20160422:0356,0,0,5.45,5.43,0,,,,
20160422:0456,0,0,5.49,5.42,0,,,,
20160422:0556,29.38,8.3,5.53,5.4,0,,,,
20160422:0656,72.28,17.55,5.57,5.38,0,,,,
20160422:0756,134.05,26.7,6.48,5.78,0,,,,
20160422:0856,173.12,35.31,7.39,6.18,0,,,,
20160422:0956,212.05,42.72,8.3,6.58,0,,,,
20160422:1056,287.61,48.08,8.93,6.37,0,,,,
20160422:1156,233.72,50.38,9.57,6.16,0,,,,
20160422:1256,266.64,49.06,10.2,5.94,0,,,,
20160422:1356,167.28,44.45,10.12,5.57,0,,,,
20160422:1456,124.07,37.5,10.04,5.19,0,,,,
20160422:1556,104.01,29.15,9.96,4.81,0,,,,
20160422:1656,52.44,20.1,9.32,4.6,0,,,,
20160422:1756,5.09,10.84,8.67,4.38,0,,,,
20160422:1856,1.06,1.77,8.02,4.17,0,,,,
20160422:1956,0,0,7.44,4.15,0,,,,
20160422:2056,0,0,6.86,4.14,0,,,,
20160422:2156,0,0,6.27,4.12,0,,,,
20160422:2256,0,0,5.8,3.97,0,,,,
20160422:2356,0,0,5.32,3.81,0,,,,
20160423:0056,0,0,4.85,3.66,0,,,,
20160423:0156,0,0,4.09,3.72,0,,,,
20160423:0256,0,0,3.33,3.79,0,,,,
20160423:0356,0,0,2.57,3.86,0,,,,
20160423:0456,0,0,2.35,3.98,0,,,,
20160423:0556,73.14,8.59,2.13,4.1,0,,,,
20160423:0656,292.15,17.84,1.91,4.22,0,,,,
20160423:0756,536.32,27,3.35,4.72,0,,,,
20160423:0856,653.13,35.61,4.78,5.21,0,,,,
20160423:0956,641.78,43.05,6.22,5.71,0,,,,
20160423:1056,1048.78,48.42,7.19,5.76,0,,,,
20160423:1156,671.84,50.72,8.17,5.81,0,,,,
20160423:1256,508.03,49.38,9.14,5.86,0,,,,
20160423:1356,332.74,44.74,9.32,5.84,0,,,,
20160423:1456,180.58,37.76,9.5,5.83,0,,,,
20160423:1556,188.57,29.39,9.68,5.81,0,,,,
20160423:1656,151.22,20.33,9.36,5.25,0,,,,
20160423:1756,71.97,11.06,9.03,4.69,0,,,,
20160423:1856,6.82,2.01,8.71,4.12,0,,,,
20160423:1956,0,0,7.7,3.71,0,,,,
20160423:2056,0,0,6.68,3.31,0,,,,
20160423:2156,0,0,5.66,2.9,0,,,,
20160423:2256,0,0,5.22,2.88,0,,,,
20160423:2356,0,0,4.77,2.87,0,,,,
20160424:0056,0,0,4.33,2.86,0,,,,
20160424:0156,0,0,4.16,3.09,0,,,,
20160424:0256,0,0,4,3.33,0,,,,
20160424:0356,0,0,3.84,3.57,0,,,,
20160424:0456,0,0,3.7,3.9,0,,,,
20160424:0556,42,8.88,3.57,4.23,0,,,,
20160424:0656,236.61,18.12,3.44,4.57,0,,,,
20160424:0756,535.85,27.29,4.37,5.21,0,,,,
20160424:0856,758.63,35.91,5.31,5.85,0,,,,
20160424:0956,931.9,43.36,6.24,6.5,0,,,,
20160424:1056,1035.86,48.75,7.15,6.66,0,,,,
20160424:1156,293.54,51.05,8.05,6.83,0,,,,
20160424:1256,322.83,49.69,8.96,6.99,0,,,,
20160424:1356,451.34,45.02,9.1,6.69,0,,,,
20160424:1456,527.03,38.01,9.23,6.39,0,,,,
20160424:1556,503.83,29.63,9.36,6.08,0,,,,
20160424:1656,172.38,20.55,8.95,5.48,0,,,,
20160424:1756,67.94,11.29,8.53,4.88,0,,,,
20160424:1856,11.48,2.24,8.11,4.28,0,,,,
20160424:1956,0,0,7.4,3.83,0,,,,
20160424:2056,0,0,6.69,3.37,0,,,,
20160424:2156,0,0,5.98,2.92,0,,,,
20160424:2256,0,0,5.81,3.06,0,,,,
20160424:2356,0,0,5.65,3.2,0,,,,
20160425:0056,0,0,5.48,3.34,0,,,,
20160425:0156,0,0,5.36,3.7,0,,,,
20160425:0256,0,0,5.24,4.06,0,,,,
20160425:0356,0,0,5.13,4.41,0,,,,
20160425:0456,0.17,0.24,5.23,4.77,0,,,,
20160425:0556,75.3,9.16,5.34,5.13,0,,,,
20160425:0656,82.54,18.4,5.45,5.49,0,,,,
20160425:0756,204.95,27.57,6.03,6.24,0,,,,
20160425:0856,251.24,36.21,6.61,6.99,0,,,,
20160425:0956,365.85,43.68,7.19,7.74,0,,,,
20160425:1056,309.31,49.08,7.7,7.87,0,,,,
20160425:1156,179.55,51.38,8.21,8,0,,,,
20160425:1256,557.02,50,8.72,8.12,0,,,,
20160425:1356,907.65,45.3,8.98,7.99,0,,,,
20160425:1456,185.94,38.27,9.24,7.85,0,,,,
20160425:1556,509.08,29.86,9.49,7.71,0,,,,
20160425:1656,268.56,20.78,8.95,7.43,0,,,,
20160425:1756,63.14,11.52,8.41,7.15,0,,,,
20160425:1856,9.36,2.48,7.87,6.87,0,,,,
20160425:1956,0,0,6.83,6.57,0,,,,
20160425:2056,0,0,5.79,6.28,0,,,,
20160425:2156,0,0,4.74,5.99,0,,,,
20160425:2256,0,0,4.35,5.84,0,,,,
20160425:2356,0,0,3.95,5.69,0,,,,
20160426:0056,0,0,3.56,5.54,0,,,,
20160426:0156,0,0,3.05,5.44,0,,,,
20160426:0256,0,0,2.54,5.33,0,,,,
20160426:0356,0,0,2.04,5.23,0,,,,
20160426:0456,2.2,0.53,1.98,5.31,0,,,,
20160426:0556,80.79,9.44,1.93,5.39,0,,,,
20160426:0656,186.26,18.68,1.88,5.48,0,,,,
20160426:0756,356.07,27.86,2.9,6.19,0,,,,
20160426:0856,699.14,36.5,3.91,6.91,0,,,,
20160426:0956,861.86,43.98,4.93,7.63,0,,,,
20160426:1056,747.53,49.4,5.62,7.7,0,,,,
20160426:1156,1037.47,51.71,6.32,7.77,0,,,,
20160426:1256,777.81,50.31,7.01,7.83,0,,,,
20160426:1356,248.9,45.57,7.03,7.86,0,,,,
20160426:1456,533.9,38.52,7.05,7.89,0,,,,
20160426:1556,112.43,30.09,7.07,7.92,0,,,,
20160426:1656,124.12,21,6.6,7.49,0,,,,
20160426:1756,81.73,11.74,6.13,7.07,0,,,,
20160426:1856,1.23,2.71,5.66,6.65,0,,,,
20160426:1956,0,0,4.92,6.01,0,,,,
20160426:2056,0,0,4.18,5.38,0,,,,
20160426:2156,0,0,3.44,4.74,0,,,,
20160426:2256,0,0,2.97,4.56,0,,,,
20160426:2356,0,0,2.5,4.38,0,,,,
20160427:0056,0,0,2.03,4.19,0,,,,
20160427:0156,0,0,1.8,4.04,0,,,,
20160427:0256,0,0,1.57,3.88,0,,,,
20160427:0356,0,0,1.34,3.72,0,,,,
20160427:0456,3.64,0.81,1.53,3.87,0,,,,
20160427:0556,82.74,9.72,1.73,4.01,0,,,,
20160427:0656,302.91,18.95,1.92,4.15,0,,,,
20160427:0756,545.42,28.13,2.88,3.86,0,,,,
20160427:0856,488.56,36.79,3.84,3.57,0,,,,
20160427:0956,473.28,44.29,4.8,3.28,0,,,,
20160427:1056,838.84,49.72,5.29,3.16,0,,,,
20160427:1156,522.61,52.03,5.77,3.04,0,,,,
20160427:1256,1037.06,50.61,6.26,2.92,0,,,,
20160427:1356,914.07,45.85,6.55,2.98,0,,,,
20160427:1456,256.56,38.76,6.83,3.03,0,,,,
20160427:1556,225.85,30.32,7.11,3.09,0,,,,
20160427:1656,88.41,21.22,6.39,3.22,0,,,,
20160427:1756,5.91,11.96,5.66,3.36,0,,,,
20160427:1856,16.01,2.94,4.93,3.49,0,,,,
20160427:1956,0,0,3.9,3.13,0,,,,
20160427:2056,0,0,2.87,2.77,0,,,,
20160427:2156,0,0,1.83,2.41,0,,,,
20160427:2256,0,0,1.26,2.35,0,,,,
20160427:2356,0,0,0.7,2.29,0,,,,
20160428:0056,0,0,0.13,2.22,0,,,,
20160428:0156,0,0,-0.25,2.19,0,,,,
20160428:0256,0,0,-0.63,2.16,0,,,,
20160428:0356,0,0,-1,2.12,0,,,,
20160428:0456,5.21,1.09,-0.78,2.48,0,,,,
20160428:0556,85.52,9.99,-0.56,2.84,0,,,,
20160428:0656,307.42,19.22,-0.34,3.2,0,,,,
20160428:0756,536.67,28.41,1.84,3.52,0,,,,
20160428:0856,721.9,37.07,4.03,3.83,0,,,,
20160428:0956,922.37,44.59,6.21,4.15,0,,,,
20160428:1056,487.64,50.03,7.1,4.88,0,,,,
20160428:1156,499.5,52.34,7.99,5.61,0,,,,
20160428:1256,499.99,50.91,8.88,6.34,0,,,,
20160428:1356,412.84,46.12,8.88,7.17,0,,,,
20160428:1456,235.94,39.01,8.88,7.99,0,,,,
20160428:1556,297.44,30.55,8.87,8.81,0,,,,
20160428:1656,182.1,21.44,8.31,8.66,0,,,,
20160428:1756,65.46,12.18,7.75,8.5,0,,,,
20160428:1856,16.6,3.17,7.19,8.34,0,,,,
20160428:1956,0,0,6.73,8.23,0,,,,
20160428:2056,0,0,6.27,8.11,0,,,,
20160428:2156,0,0,5.81,7.99,0,,,,
20160428:2256,0,0,5.25,7.71,0,,,,
20160428:2356,0,0,4.68,7.44,0,,,,
20160429:0056,0,0,4.12,7.17,0,,,,
20160429:0156,0,0,3.58,6.24,0,,,,
20160429:0256,0,0,3.04,5.31,0,,,,
20160429:0356,0,0,2.5,4.37,0,,,,
20160429:0456,4.95,1.36,2.49,4.79,0,,,,
20160429:0556,84.07,10.26,2.49,5.21,0,,,,
20160429:0656,309.26,19.49,2.48,5.63,0,,,,
20160429:0756,549.97,28.67,3.55,6.5,0,,,,
20160429:0856,771.04,37.35,4.62,7.37,0,,,,
20160429:0956,646.23,44.88,5.69,8.23,0,,,,
20160429:1056,1048.97,50.34,6.51,8.34,0,,,,
20160429:1156,1076.2,52.66,7.32,8.44,0,,,,
20160429:1256,616.61,51.2,8.14,8.54,0,,,,
20160429:1356,926.14,46.39,8.15,8.31,0,,,,
20160429:1456,252.75,39.25,8.16,8.08,0,,,,
20160429:1556,21.83,30.77,8.16,7.85,0,,,,
20160429:1656,276.2,21.66,7.81,7.2,0,,,,
20160429:1756,79.58,12.4,7.45,6.56,0,,,,
20160429:1856,18.67,3.39,7.1,5.92,0,,,,
20160429:1956,0,0,5.94,5.11,0,,,,
20160429:2056,0,0,4.78,4.3,0,,,,
20160429:2156,0,0,3.61,3.49,0,,,,
20160429:2256,0,0,3.19,3.42,0,,,,
20160429:2356,0,0,2.78,3.34,0,,,,
20160430:0056,0,0,2.36,3.27,0,,,,
20160430:0156,0,0,1.81,2.95,0,,,,
20160430:0256,0,0,1.26,2.63,0,,,,
20160430:0356,0,0,0.72,2.3,0,,,,
20160430:0456,8.38,1.63,1.02,2.64,0,,,,
20160430:0556,89.4,10.52,1.32,2.97,0,,,,
20160430:0656,310.35,19.75,1.62,3.31,0,,,,
20160430:0756,465.28,28.94,3.68,3.81,0,,,,
20160430:0856,683.5,37.63,5.74,4.3,0,,,,
20160430:0956,656.38,45.17,7.8,4.8,0,,,,
20160430:1056,634.51,50.65,8.53,4.71,0,,,,
20160430:1156,1076.8,52.97,9.25,4.62,0,,,,
20160430:1256,417.94,51.5,9.98,4.52,0,,,,
20160430:1356,142.49,46.65,9.63,4.81,0,,,,
20160430:1456,317.71,39.49,9.28,5.09,0,,,,
20160430:1556,485.65,30.99,8.93,5.38,0,,,,
20160430:1656,211.86,21.87,8.55,4.9,0,,,,
20160430:1756,65.76,12.62,8.16,4.41,0,,,,
20160430:1856,19.69,3.62,7.77,3.93,0,,,,
20160430:1956,0,0,6.47,3.45,0,,,,
20160430:2056,0,0,5.17,2.97,0,,,,
20160430:2156,0,0,3.87,2.5,0,,,,
20160430:2256,0,0,3,2.54,0,,,,
20160430:2356,0,0,2.14,2.58,0,,,,
20160501:0056,0,0,1.27,2.62,0,,,,
20160501:0156,0,0,0.93,2.5,0,,,,
20160501:0256,0,0,0.59,2.37,0,,,,
20160501:0356,0,0,0.25,2.25,0,,,,
20160501:0456,9.82,1.89,1.05,2.68,0,,,,
20160501:0556,90.46,10.77,1.85,3.11,0,,,,
20160501:0656,310.65,20,2.65,3.54,0,,,,
20160501:0756,538.66,29.19,4.57,3.99,0,,,,
20160501:0856,705.53,37.89,6.48,4.43,0,,,,
20160501:0956,922.94,45.46,8.4,4.87,0,,,,
20160501:1056,897.54,50.95,8.96,5.29,0,,,,
20160501:1156,892.73,53.27,9.53,5.71,0,,,,
20160501:1256,870.07,51.79,10.09,6.14,0,,,,
20160501:1356,534.74,46.91,10.92,6.46,0,,,,
20160501:1456,391.49,39.72,11.74,6.78,0,,,,
20160501:1556,253.54,31.21,12.56,7.1,0,,,,
20160501:1656,153.11,22.09,11.96,6.6,0,,,,
20160501:1756,35.06,12.83,11.36,6.09,0,,,,
20160501:1856,20.03,3.84,10.77,5.59,0,,,,
20160501:1956,0,0,10.22,5.44,0,,,,
20160501:2056,0,0,9.67,5.3,0,,,,
20160501:2156,0,0,9.12,5.16,0,,,,
20160501:2256,0,0,9.1,5.27,0,,,,
20160501:2356,0,0,9.08,5.38,0,,,,
20160502:0056,0,0,9.06,5.49,0,,,,
20160502:0156,0,0,9,5.55,0,,,,
20160502:0256,0,0,8.94,5.61,0,,,,
20160502:0356,0,0,8.89,5.67,0,,,,
20160502:0456,10.67,2.15,9.11,5.81,0,,,,
20160502:0556,62.82,11.03,9.34,5.95,0,,,,
20160502:0656,113.11,20.25,9.57,6.1,0,,,,
20160502:0756,206.27,29.45,9.96,7.01,0,,,,
20160502:0856,359.99,38.16,10.35,7.93,0,,,,
20160502:0956,584.16,45.74,10.74,8.84,0,,,,
20160502:1056,679.95,51.25,10.91,9.16,0,,,,
20160502:1156,722.32,53.57,11.08,9.48,0,,,,
20160502:1256,270.43,52.07,11.25,9.79,0,,,,
20160502:1356,161.14,47.17,11.28,9.15,0,,,,
20160502:1456,146.08,39.96,11.31,8.51,0,,,,
20160502:1556,155.96,31.43,11.33,7.86,0,,,,
20160502:1656,280.36,22.3,10.72,7.47,0,,,,
20160502:1756,76.25,13.05,10.11,7.08,0,,,,
20160502:1856,21.98,4.06,9.51,6.69,0,,,,
20160502:1956,0,0,8.72,6.19,0,,,,
20160502:2056,0,0,7.93,5.69,0,,,,
20160502:2156,0,0,7.15,5.19,0,,,,
20160502:2256,0,0,6.59,4.85,0,,,,
20160502:2356,0,0,6.03,4.51,0,,,,
20160503:0056,0,0,5.47,4.17,0,,,,
20160503:0156,0,0,4.94,3.88,0,,,,
20160503:0256,0,0,4.41,3.6,0,,,,
20160503:0356,0,0,3.88,3.31,0,,,,
20160503:0456,12.87,2.41,4.14,3.57,0,,,,
20160503:0556,95.09,11.27,4.39,3.83,0,,,,
20160503:0656,317.3,20.49,4.64,4.08,0,,,,
20160503:0756,471.75,29.7,6.36,4.54,0,,,,
20160503:0856,765.92,38.42,8.08,4.99,0,,,,
20160503:0956,943.56,46.01,9.81,5.45,0,,,,
20160503:1056,1039.66,51.54,10.64,5.71,0,,,,
20160503:1156,1075.52,53.87,11.46,5.97,0,,,,
20160503:1256,280.87,52.35,12.29,6.23,0,,,,
20160503:1356,298.31,47.42,12.4,6.26,0,,,,
20160503:1456,154.81,40.19,12.51,6.29,0,,,,
20160503:1556,231.47,31.65,12.61,6.32,0,,,,
20160503:1656,119.36,22.51,12.18,5.37,0,,,,
20160503:1756,77.15,13.26,11.74,4.43,0,,,,
20160503:1856,21.09,4.28,11.31,3.49,0,,,,
20160503:1956,0,0,9.48,3.26,0,,,,
20160503:2056,0,0,7.66,3.04,0,,,,
20160503:2156,0,0,5.84,2.81,0,,,,
20160503:2256,0,0,5.28,2.64,0,,,,
20160503:2356,0,0,4.71,2.46,0,,,,
20160504:0056,0,0,4.15,2.29,0,,,,
20160504:0156,0,0,3.55,2.22,0,,,,
20160504:0256,0,0,2.95,2.14,0,,,,
20160504:0356,0,0,2.35,2.07,0,,,,
20160504:0456,14.1,2.66,2.87,2.27,0,,,,
20160504:0556,95.5,11.51,3.4,2.46,0,,,,
20160504:0656,314.06,20.73,3.92,2.66,0,,,,
20160504:0756,552.86,29.94,6.39,3.22,0,,,,
20160504:0856,769.24,38.67,8.86,3.78,0,,,,
20160504:0956,939.23,46.28,11.33,4.34,0,,,,
20160504:1056,1043.27,51.82,12.23,4.59,0,,,,
20160504:1156,1075.74,54.16,13.14,4.83,0,,,,
20160504:1256,1031.7,52.63,14.04,5.08,0,,,,
20160504:1356,911.51,47.68,14.35,5.03,0,,,,
20160504:1456,735.09,40.42,14.65,4.97,0,,,,
20160504:1556,516.39,31.86,14.95,4.92,0,,,,
20160504:1656,280.92,22.72,14.37,4.58,0,,,,
20160504:1756,68.39,13.47,13.79,4.23,0,,,,
20160504:1856,23.97,4.5,13.2,3.89,0,,,,
20160504:1956,0,0,11.52,3.46,0,,,,
20160504:2056,0,0,9.84,3.03,0,,,,
20160504:2156,0,0,8.16,2.61,0,,,,
20160504:2256,0,0,7.51,2.53,0,,,,
20160504:2356,0,0,6.85,2.46,0,,,,
20160505:0056,0,0,6.2,2.39,0,,,,
20160505:0156,0,0,5.55,2.37,0,,,,
20160505:0256,0,0,4.9,2.36,0,,,,
20160505:0356,0,0,4.26,2.34,0,,,,
20160505:0456,15.33,2.9,4.67,2.44,0,,,,
20160505:0556,96.5,11.75,5.09,2.54,0,,,,
20160505:0656,312.99,20.97,5.51,2.63,0,,,,
20160505:0756,542.67,30.18,8.07,2.65,0,,,,
20160505:0856,713.32,38.92,10.62,2.67,0,,,,
20160505:0956,929.44,46.54,13.18,2.69,0,,,,
20160505:1056,1036.71,52.11,14.44,3.15,0,,,,
20160505:1156,1068.87,54.45,15.7,3.62,0,,,,
20160505:1256,1025.1,52.9,16.96,4.08,0,,,,
20160505:1356,910.21,47.92,17.28,4.26,0,,,,
20160505:1456,646.89,40.64,17.59,4.44,0,,,,
20160505:1556,430.21,32.07,17.9,4.62,0,,,,
20160505:1656,258.42,22.92,17.17,4.05,0,,,,
20160505:1756,88.78,13.67,16.44,3.48,0,,,,
20160505:1856,26.09,4.72,15.72,2.91,0,,,,
20160505:1956,0,0,13.95,2.79,0,,,,
20160505:2056,0,0,12.18,2.67,0,,,,
20160505:2156,0,0,10.41,2.55,0,,,,
20160505:2256,0,0,9.91,2.56,0,,,,
20160505:2356,0,0,9.42,2.57,0,,,,
20160506:0056,0,0,8.92,2.58,0,,,,
20160506:0156,0,0,8,2.44,0,,,,
20160506:0256,0,0,7.07,2.29,0,,,,
20160506:0356,0,0,6.14,2.15,0,,,,
20160506:0456,16.13,3.14,6.49,2.46,0,,,,
20160506:0556,35.7,11.98,6.84,2.76,0,,,,
20160506:0656,185.6,21.2,7.19,3.06,0,,,,
20160506:0756,266.64,30.41,9.41,3.14,0,,,,
20160506:0856,658.57,39.16,11.63,3.22,0,,,,
20160506:0956,925.71,46.8,13.86,3.3,0,,,,
20160506:1056,996.71,52.38,15.43,3.26,0,,,,
20160506:1156,1046.13,54.73,17.01,3.22,0,,,,
20160506:1256,1015.42,53.17,18.58,3.19,0,,,,
20160506:1356,794.57,48.17,18.71,3.37,0,,,,
20160506:1456,516.31,40.86,18.84,3.56,0,,,,
20160506:1556,273.95,32.28,18.96,3.75,0,,,,
20160506:1656,143.98,23.12,18.34,3.12,0,,,,
20160506:1756,95.03,13.88,17.71,2.48,0,,,,
20160506:1856,26.72,4.93,17.08,1.85,0,,,,
20160506:1956,0,0,15.42,2.11,0,,,,
20160506:2056,0,0,13.75,2.37,0,,,,
20160506:2156,0,0,12.09,2.63,0,,,,
20160506:2256,0,0,11.74,2.54,0,,,,
20160506:2356,0,0,11.4,2.44,0,,,,
20160507:0056,0,0,11.05,2.34,0,,,,
20160507:0156,0,0,10.58,2.29,0,,,,
20160507:0256,0,0,10.1,2.23,0,,,,
20160507:0356,0,0,9.62,2.18,0,,,,
20160507:0456,17.4,3.37,9.92,2.29,0,,,,
20160507:0556,75.88,12.21,10.22,2.4,0,,,,
20160507:0656,91.33,21.42,10.51,2.51,0,,,,
20160507:0756,377.44,30.63,12.71,2.8,0,,,,
20160507:0856,208.28,39.4,14.91,3.09,0,,,,
20160507:0956,766.98,47.06,17.11,3.38,0,,,,
20160507:1056,770.67,52.65,17.79,4.12,0,,,,
20160507:1156,656.54,55.01,18.48,4.87,0,,,,
20160507:1256,605.44,53.44,19.16,5.61,0,,,,
20160507:1356,232.48,48.41,19.36,5.46,0,,,,
20160507:1456,178.78,41.08,19.56,5.3,0,,,,
20160507:1556,307.6,32.49,19.76,5.14,0,,,,
20160507:1656,204.56,23.32,19.19,4.51,0,,,,
20160507:1756,44.39,14.08,18.61,3.89,0,,,,
20160507:1856,26.38,5.14,18.03,3.26,0,,,,
20160507:1956,0,0,16.76,3.06,0,,,,
20160507:2056,0,0,15.49,2.87,0,,,,
20160507:2156,0,0,14.22,2.68,0,,,,
20160507:2256,0,0,13.95,2.91,0,,,,
20160507:2356,0,0,13.69,3.15,0,,,,
20160508:0056,0,0,13.42,3.39,0,,,,
20160508:0156,0,0,12.74,3.09,0,,,,
20160508:0256,0,0,12.05,2.78,0,,,,
20160508:0356,0,0,11.36,2.47,0,,,,
20160508:0456,17.4,3.6,11.65,2.75,0,,,,
20160508:0556,98.48,12.43,11.94,3.04,0,,,,
20160508:0656,195.32,21.64,12.22,3.32,0,,,,
20160508:0756,455.39,30.86,14.35,3.83,0,,,,
20160508:0856,735.34,39.63,16.48,4.33,0,,,,
20160508:0956,848.81,47.3,18.62,4.83,0,,,,
20160508:1056,1011.68,52.92,19.78,5.51,0,,,,
20160508:1156,1038.76,55.28,20.93,6.19,0,,,,
20160508:1256,995.69,53.7,22.09,6.87,0,,,,
20160508:1356,848.82,48.65,22.43,6.93,0,,,,
20160508:1456,720.2,41.3,22.77,6.99,0,,,,
20160508:1556,450.75,32.69,23.11,7.05,0,,,,
20160508:1656,213.84,23.52,22.36,6.36,0,,,,
20160508:1756,71.4,14.28,21.6,5.67,0,,,,
20160508:1856,27.61,5.35,20.84,4.98,0,,,,
20160508:1956,0,0,19.83,4.96,0,,,,
20160508:2056,0,0,18.82,4.94,0,,,,
20160508:2156,0,0,17.81,4.92,0,,,,
20160508:2256,0,0,17.3,4.69,0,,,,
20160508:2356,0,0,16.79,4.46,0,,,,
20160509:0056,0,0,16.28,4.22,0,,,,
20160509:0156,0,0,15.96,4.22,0,,,,
20160509:0256,0,0,15.63,4.22,0,,,,
20160509:0356,0,0,15.31,4.22,0,,,,
20160509:0456,20.07,3.83,15.05,4.22,0,,,,
20160509:0556,100.13,12.65,14.79,4.22,0,,,,
20160509:0656,185.87,21.85,14.53,4.22,0,,,,
20160509:0756,138.36,31.07,15.97,4.74,0,,,,
20160509:0856,392.91,39.85,17.41,5.26,0,,,,
20160509:0956,352.51,47.55,18.86,5.78,0,,,,
20160509:1056,639.13,53.18,19.02,5.96,0,,,,
20160509:1156,584.21,55.55,19.19,6.14,0,,,,
20160509:1256,407.58,53.96,19.35,6.32,0,,,,
20160509:1356,128.94,48.88,19.98,6.76,0,,,,
20160509:1456,286.85,41.51,20.61,7.2,0,,,,
20160509:1556,100.92,32.89,21.23,7.64,0,,,,
20160509:1656,158.91,23.72,19.88,6.71,0,,,,
20160509:1756,80.91,14.48,18.53,5.78,0,,,,
20160509:1856,4.11,5.55,17.17,4.86,0,,,,
20160509:1956,0,0,16.25,4.52,0,,,,
20160509:2056,0,0,15.32,4.18,0,,,,
20160509:2156,0,0,14.39,3.85,0,,,,
20160509:2256,0,0,14.32,3.92,0,,,,
20160509:2356,0,0,14.25,3.99,0,,,,
20160510:0056,0,0,14.18,4.06,0,,,,
20160510:0156,0,0,13.92,3.38,0,,,,
20160510:0256,0,0,13.65,2.71,0,,,,
20160510:0356,0,0,13.39,2.04,0,,,,
20160510:0456,17.62,4.05,13.44,2.4,0,,,,
20160510:0556,32.97,12.86,13.5,2.77,0,,,,
20160510:0656,87.23,22.06,13.56,3.13,0,,,,
20160510:0756,71.77,31.28,13.78,3.57,0,,,,
20160510:0856,101.33,40.07,13.99,4,0,,,,
20160510:0956,218.21,47.78,14.21,4.44,0,,,,
20160510:1056,190.7,53.44,14.36,4.56,0,,,,
20160510:1156,180.65,55.82,14.51,4.68,0,,,,
20160510:1256,206.3,54.21,14.66,4.8,0,,,,
20160510:1356,140.08,49.11,14.99,4.64,0,,,,
20160510:1456,206.83,41.72,15.32,4.48,0,,,,
20160510:1556,181.29,33.09,15.65,4.32,0,,,,
