"Latitude (decimal degrees):	51.790",,,,,,,,Date (ignore the year),Averaged G_i (W/m^2)
20150108:2356,0,0,6.01,7.57,0,,,20150109:0756,0
20150109:0056,0,0,6.61,8.5,0,,,20150109:0856,17.545
20150109:0156,0,0,7.15,8.36,0,,,20150109:0956,93.285
20150109:0256,0,0,7.69,8.22,0,,,20150109:1056,309.55
20150109:0356,0,0,8.23,8.08,0,,,20150109:1156,292.285
20150109:0456,0,0,8.73,7.62,0,,,20150109:1256,76.005
20150109:0556,0,0,9.22,7.16,0,,,20150109:1356,92.17
20150109:0656,0,0,9.72,6.7,0,,,20150109:1456,123.7
20150109:0756,0,0,9.5,6.87,0,,,20150109:1556,4.14
20150109:0856,20.3,4.56,9.27,7.04,0,,,20150109:1656,0
20150109:0956,134.8,10.3,9.05,7.21,0,,,20150109:1756,0
20150109:1056,515.89,14.23,9.34,8.18,0,,,20150109:1856,0
20150109:1156,130.11,16.01,9.64,9.15,0,,,20150109:1956,0
20150109:1256,8.28,15.48,9.93,10.12,0,,,20150109:2056,0
20150109:1356,80.6,12.69,10.13,10.65,0,,,20150109:2156,0
20150109:1456,170.68,7.9,10.33,11.17,0,,,20150109:2256,0
20150109:1556,7.32,1.46,10.52,11.7,0,,,20150109:2356,0
20150109:1656,0,0,11.07,11.47,0,,,20150110:0056,0
20150109:1756,0,0,11.62,11.25,0,,,20150110:0156,0
20150109:1856,0,0,12.17,11.02,0,,,20150110:0256,0
20150109:1956,0,0,12.08,10.74,0,,,20150110:0356,0
20150109:2056,0,0,12,10.46,0,,,20150110:0456,0
20150109:2156,0,0,11.92,10.18,0,,,20150110:0556,0
20150109:2256,0,0,11.75,10.49,0,,,20150110:0656,0
20150109:2356,0,0,11.59,10.8,0,,,20150110:0756,0
20150110:0056,0,0,11.42,11.12,0,,,20150110:0856,189.045
20150110:0156,0,0,10.68,11.2,0,,,20150110:0956,87.555
20150110:0256,0,0,9.93,11.27,0,,,20150110:1056,132.19
20150110:0356,0,0,9.18,11.35,0,,,20150110:1156,248.985
20150110:0456,0,0,9.3,11.62,0,,,20150110:1256,301.27
20150110:0556,0,0,9.42,11.89,0,,,20150110:1356,281.525
20150110:0656,0,0,9.54,12.17,0,,,20150110:1456,188.62
20150110:0756,0,0,9.52,12.45,0,,,20150110:1556,7.64
20150110:0856,218.54,4.64,9.49,12.74,0,,,20150110:1656,0
20150110:0956,49.54,10.4,9.47,13.02,0,,,20150110:1756,0
20150110:1056,174.89,14.35,8.26,11.57,0,,,20150110:1856,0
20150110:1156,362.65,16.15,7.06,10.12,0,,,20150110:1956,0
20150110:1256,114.13,15.64,5.85,8.68,0,,,20150110:2056,0
20150110:1356,391.3,12.86,5.73,8.26,0,,,20150110:2156,0
20150110:1456,271.65,8.07,5.61,7.84,0,,,20150110:2256,0
20150110:1556,8.05,1.63,5.49,7.42,0,,,20150110:2356,0
20150110:1656,0,0,4.73,6.63,0,,,20150111:0056,0
20150110:1756,0,0,3.96,5.85,0,,,20150111:0156,0
20150110:1856,0,0,3.2,5.06,0,,,20150111:0256,0
20150110:1956,0,0,2.97,4.99,0,,,20150111:0356,0
20150110:2056,0,0,2.75,4.92,0,,,20150111:0456,0
20150110:2156,0,0,2.53,4.86,0,,,20150111:0556,0
20150110:2256,0,0,2.58,5.09,0,,,20150111:0656,0
20150110:2356,0,0,2.63,5.33,0,,,20150111:0756,0
20150111:0056,0,0,2.68,5.57,0,,,20150111:0856,160.03
20150111:0156,0,0,2.54,5.96,0,,,20150111:0956,239.45
20150111:0256,0,0,2.39,6.35,0,,,20150111:1056,394.445
20150111:0356,0,0,2.24,6.74,0,,,20150111:1156,372.91
20150111:0456,0,0,2.18,7.03,0,,,20150111:1256,117.925
20150111:0556,0,0,2.13,7.31,0,,,20150111:1356,30.035
20150111:0656,0,0,2.07,7.59,0,,,20150111:1456,93.81
20150111:0756,0,0,2.19,7.06,0,,,20150111:1556,9.755
20150111:0856,164.94,4.73,2.31,6.54,0,,,20150111:1656,0
20150111:0956,408.7,10.51,2.43,6.01,0,,,20150111:1756,0
20150111:1056,553.36,14.48,3.47,5.89,0,,,20150111:1856,0
20150111:1156,613.67,16.3,4.51,5.77,0,,,20150111:1956,0
20150111:1256,174.41,15.8,5.55,5.64,0,,,20150111:2056,0
20150111:1356,53.48,13.03,5.63,6.44,0,,,20150111:2156,0
20150111:1456,47.07,8.24,5.71,7.24,0,,,20150111:2256,0
20150111:1556,9.64,1.81,5.79,8.04,0,,,20150111:2356,0
20150111:1656,0,0,5.77,8.25,0,,,20150112:0056,0
20150111:1756,0,0,5.76,8.46,0,,,20150112:0156,0
20150111:1856,0,0,5.74,8.66,0,,,20150112:0256,0
20150111:1956,0,0,5.8,8.23,0,,,20150112:0356,0
20150111:2056,0,0,5.86,7.8,0,,,20150112:0456,0
20150111:2156,0,0,5.93,7.37,0,,,20150112:0556,0
20150111:2256,0,0,6.28,7.38,0,,,20150112:0656,0
20150111:2356,0,0,6.62,7.39,0,,,20150112:0756,0
20150112:0056,0,0,6.97,7.41,0,,,20150112:0856,97.405
20150112:0156,0,0,6.74,8.26,0,,,20150112:0956,125.475
20150112:0256,0,0,6.5,9.12,0,,,20150112:1056,53.645
20150112:0356,0,0,6.26,9.97,0,,,20150112:1156,62.46
20150112:0456,0,0,6.55,9.82,0,,,20150112:1256,22.375
20150112:0556,0,0,6.84,9.67,0,,,20150112:1356,37.725
20150112:0656,0,0,7.13,9.52,0,,,20150112:1456,149.215
20150112:0756,0,0,7.54,9.54,0,,,20150112:1556,8.865
20150112:0856,27.65,4.83,7.95,9.55,0,,,20150112:1656,0
20150112:0956,4.96,10.63,8.36,9.57,0,,,20150112:1756,0
20150112:1056,42.16,14.62,8.79,9.06,0,,,20150112:1856,0
20150112:1156,30.61,16.45,9.22,8.54,0,,,20150112:1956,0
20150112:1256,35.97,15.97,9.65,8.03,0,,,20150112:2056,0
20150112:1356,20.33,13.21,9.45,7.54,0,,,20150112:2156,0
20150112:1456,42.19,8.42,9.25,7.05,0,,,20150112:2256,0
20150112:1556,7.32,1.99,9.05,6.57,0,,,20150112:2356,0
20150112:1656,0,0,8.68,6.15,0,,,20150113:0056,0
20150112:1756,0,0,8.32,5.73,0,,,20150113:0156,0
20150112:1856,0,0,7.95,5.31,0,,,20150113:0256,0
20150112:1956,0,0,7.93,6.02,0,,,20150113:0356,0
20150112:2056,0,0,7.91,6.74,0,,,20150113:0456,0
20150112:2156,0,0,7.9,7.45,0,,,20150113:0556,0
20150112:2256,0,0,8.18,7.6,0,,,20150113:0656,0
20150112:2356,0,0,8.47,7.75,0,,,20150113:0756,0
20150113:0056,0,0,8.75,7.9,0,,,20150113:0856,103.125
20150113:0156,0,0,8.5,7.17,0,,,20150113:0956,237.31
20150113:0256,0,0,8.24,6.43,0,,,20150113:1056,314.795
20150113:0356,0,0,7.98,5.7,0,,,20150113:1156,273.305
20150113:0456,0,0,7.09,5.63,0,,,20150113:1256,380.675
20150113:0556,0,0,6.19,5.57,0,,,20150113:1356,261.57
20150113:0656,0,0,5.29,5.5,0,,,20150113:1456,218.235
20150113:0756,0,0,4.7,4.96,0,,,20150113:1556,11.985
20150113:0856,176.95,4.94,4.1,4.41,0,,,20150113:1656,0
20150113:0956,420.95,10.75,3.51,3.86,0,,,20150113:1756,0
20150113:1056,300.3,14.76,4.01,4.17,0,,,20150113:1856,0
20150113:1156,9.28,16.62,4.5,4.47,0,,,20150113:1956,0
20150113:1256,251.37,16.14,5,4.77,0,,,20150113:2056,0
20150113:1356,288.9,13.39,4.48,4.83,0,,,20150113:2156,0
20150113:1456,306.37,8.61,3.96,4.88,0,,,20150113:2256,0
20150113:1556,11.78,2.18,3.43,4.94,0,,,20150113:2356,0
20150113:1656,0,0,2.9,4.69,0,,,20150114:0056,0
20150113:1756,0,0,2.37,4.45,0,,,20150114:0156,0
20150113:1856,0,0,1.84,4.21,0,,,20150114:0256,0
20150113:1956,0,0,1.64,4.72,0,,,20150114:0356,0
20150113:2056,0,0,1.44,5.24,0,,,20150114:0456,0
20150113:2156,0,0,1.24,5.75,0,,,20150114:0556,0
20150113:2256,0,0,1.04,6.33,0,,,20150114:0656,0
20150113:2356,0,0,0.85,6.91,0,,,20150114:0756,0
20150114:0056,0,0,0.65,7.49,0,,,20150114:0856,150.855
20150114:0156,0,0,0.89,6.9,0,,,20150114:0956,244.425
20150114:0256,0,0,1.12,6.31,0,,,20150114:1056,332.925
20150114:0356,0,0,1.35,5.72,0,,,20150114:1156,311.465
20150114:0456,0,0,1.2,5.86,0,,,20150114:1256,492.61
20150114:0556,0,0,1.05,6,0,,,20150114:1356,340.445
20150114:0656,0,0,0.9,6.14,0,,,20150114:1456,232.79
20150114:0756,0,0,0.8,6.21,0,,,20150114:1556,107.915
20150114:0856,185.77,5.05,0.69,6.28,0,,,20150114:1656,0
20150114:0956,430.95,10.89,0.59,6.34,0,,,20150114:1756,0
20150114:1056,585.61,14.91,1.59,6.01,0,,,20150114:1856,0
20150114:1156,551.41,16.79,2.59,5.68,0,,,20150114:1956,0
20150114:1256,621.66,16.33,3.59,5.35,0,,,20150114:2056,0
20150114:1356,394.35,13.58,3.95,5.61,0,,,20150114:2156,0
20150114:1456,140.55,8.8,4.31,5.87,0,,,20150114:2256,0
20150114:1556,149.82,2.37,4.66,6.12,0,,,20150114:2356,0
20150114:1656,0,0,4.92,6.87,0,,,20150115:0056,0
20150114:1756,0,0,5.17,7.61,0,,,20150115:0156,0
20150114:1856,0,0,5.43,8.36,0,,,20150115:0256,0
20150114:1956,0,0,5.76,9.24,0,,,20150115:0356,0
20150114:2056,0,0,6.1,10.11,0,,,20150115:0456,0
20150114:2156,0,0,6.44,10.99,0,,,20150115:0556,0
20150114:2256,0,0,7.12,11.1,0,,,20150115:0656,0
20150114:2356,0,0,7.81,11.21,0,,,20150115:0756,0
20150115:0056,0,0,8.5,11.32,0,,,20150115:0856,186.355
20150115:0156,0,0,8.59,10.72,0,,,20150115:0956,291.15
20150115:0256,0,0,8.67,10.12,0,,,20150115:1056,331.93
20150115:0356,0,0,8.75,9.52,0,,,20150115:1156,473.355
20150115:0456,0,0,7.64,8.9,0,,,20150115:1256,610.19
20150115:0556,0,0,6.52,8.28,0,,,20150115:1356,372.315
20150115:0656,0,0,5.41,7.67,0,,,20150115:1456,319.995
20150115:0756,0,0,5.02,7.19,0,,,20150115:1556,66.3
20150115:0856,181.97,5.17,4.63,6.7,0,,,20150115:1656,0
20150115:0956,423.46,11.02,4.24,6.22,0,,,20150115:1756,0
20150115:1056,179.29,15.07,4.58,6.33,0,,,20150115:1856,0
20150115:1156,304.66,16.96,4.93,6.43,0,,,20150115:1956,0
20150115:1256,604.03,16.52,5.27,6.54,0,,,20150115:2056,0
20150115:1356,415.68,13.78,5.25,7.37,0,,,20150115:2156,0
20150115:1456,320.58,9,5.23,8.2,0,,,20150115:2256,0
20150115:1556,66.98,2.57,5.2,9.03,0,,,20150115:2356,0
20150115:1656,0,0,4.8,9.46,0,,,20150116:0056,0
20150115:1756,0,0,4.41,9.89,0,,,20150116:0156,0
20150115:1856,0,0,4.01,10.32,0,,,20150116:0256,0
20150115:1956,0,0,3.98,10.23,0,,,20150116:0356,0
20150115:2056,0,0,3.96,10.13,0,,,20150116:0456,0
20150115:2156,0,0,3.94,10.04,0,,,20150116:0556,0
20150115:2256,0,0,3.9,9.62,0,,,20150116:0656,0
20150115:2356,0,0,3.86,9.2,0,,,20150116:0756,0
20150116:0056,0,0,3.82,8.79,0,,,20150116:0856,179.725
20150116:0156,0,0,3.82,7.79,0,,,20150116:0956,340.145
20150116:0256,0,0,3.82,6.8,0,,,20150116:1056,484.98
20150116:0356,0,0,3.82,5.81,0,,,20150116:1156,352.61
20150116:0456,0,0,3.37,5.21,0,,,20150116:1256,509.7
20150116:0556,0,0,2.91,4.61,0,,,20150116:1356,242.75
20150116:0656,0,0,2.45,4.01,0,,,20150116:1456,235.515
20150116:0756,0,0,2.24,3.63,0,,,20150116:1556,103.95
20150116:0856,170.3,5.3,2.03,3.24,0,,,20150116:1656,0
20150116:0956,248.74,11.17,1.82,2.86,0,,,20150116:1756,0
20150116:1056,491.93,15.23,2.7,3.05,0,,,20150116:1856,0
20150116:1156,566.14,17.14,3.57,3.24,0,,,20150116:1956,0
20150116:1256,623.87,16.71,4.45,3.43,0,,,20150116:2056,0
20150116:1356,75.62,13.98,4.44,4,0,,,20150116:2156,0
20150116:1456,273.38,9.21,4.44,4.56,0,,,20150116:2256,0
20150116:1556,141.36,2.77,4.43,5.12,0,,,20150116:2356,0
20150116:1656,0,0,3.27,4.1,0,,,20150117:0056,0
20150116:1756,0,0,2.12,3.09,0,,,20150117:0156,0
20150116:1856,0,0,0.96,2.07,0,,,20150117:0256,0
20150116:1956,0,0,0.18,2.23,0,,,20150117:0356,0
20150116:2056,0,0,-0.6,2.39,0,,,20150117:0456,0
20150116:2156,0,0,-1.38,2.55,0,,,20150117:0556,0
20150116:2256,0,0,-1.67,2.86,0,,,20150117:0656,0
20150116:2356,0,0,-1.96,3.17,0,,,20150117:0756,0
20150117:0056,0,0,-2.25,3.48,0,,,20150117:0856,181.555
20150117:0156,0,0,-1.82,3.36,0,,,20150117:0956,49.775
20150117:0256,0,0,-1.39,3.25,0,,,20150117:1056,331.425
20150117:0356,0,0,-0.96,3.13,0,,,20150117:1156,371.185
20150117:0456,0,0,-0.87,3.51,0,,,20150117:1256,348.41
20150117:0556,0,0,-0.77,3.89,0,,,20150117:1356,261.94
20150117:0656,0,0,-0.68,4.28,0,,,20150117:1456,169.92
20150117:0756,0,0,-0.31,4.55,0,,,20150117:1556,101.835
20150117:0856,235.46,5.43,0.06,4.83,0,,,20150117:1656,0
20150117:0956,48.37,11.32,0.43,5.1,0,,,20150117:1756,0
20150117:1056,587.06,15.41,1.37,4.86,0,,,20150117:1856,0
20150117:1156,650.21,17.33,2.31,4.62,0,,,20150117:1956,0
20150117:1256,625.62,16.91,3.25,4.37,0,,,20150117:2056,0
20150117:1356,423.39,14.19,3.51,4.34,0,,,20150117:2156,0
20150117:1456,272.58,9.42,3.77,4.3,0,,,20150117:2256,0
20150117:1556,98.44,2.98,4.02,4.26,0,,,20150117:2356,0
